RK,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Year
2,Golden State Warriors,22,114.1,41.1,86.1,47.7,12.2,32.7,37.2,19.8,24.3,81.3,10.1,33.2,43.3,28.4,7.4,5.7,14.9,23.2,2019
3,Milwaukee Bucks,15,112.8,39.8,88.3,45.1,12.8,38.1,33.6,20.4,28.0,72.9,10.1,41.8,51.9,25.0,6.7,6.4,13.0,21.8,2019
4,Brooklyn Nets,5,111.4,38.4,91.4,42.0,11.0,34.0,32.4,23.6,29.2,80.8,11.2,29.2,40.4,19.2,7.6,2.8,14.2,22.8,2019
5,Portland Trail Blazers,16,109.7,39.4,90.4,43.6,11.8,32.8,36.0,19.0,24.8,76.6,11.4,33.8,45.2,19.8,6.9,5.1,12.9,22.8,2019
6,Denver Nuggets,14,109.1,39.9,90.2,44.3,9.6,27.8,34.4,19.7,25.2,78.2,13.1,34.6,47.7,24.0,5.7,4.6,9.8,21.3,2019
7,Philadelphia 76ers,12,108.7,39.4,85.8,45.9,9.4,28.4,33.1,20.4,25.8,79.0,11.4,37.1,48.5,24.4,6.3,5.4,16.5,22.4,2019
8,Houston Rockets,11,108.5,37.2,83.8,44.4,15.6,42.7,36.6,18.5,24.3,76.4,9.6,33.3,42.9,18.3,8.5,5.1,15.8,21.6,2019
9,Toronto Raptors,24,106.6,37.7,84.8,44.4,11.9,34.5,34.6,19.3,23.3,83.0,8.3,34.0,42.3,22.5,8.0,4.6,12.1,22.6,2019
10,Oklahoma City Thunder,5,105.2,37.8,86.0,44.0,10.4,31.4,33.1,19.2,25.4,75.6,10.2,33.0,43.2,22.6,6.6,5.4,15.2,24.2,2019
11,San Antonio Spurs,7,103.3,39.4,85.1,46.3,6.7,19.9,33.8,17.7,23.0,77.0,10.7,34.4,45.1,21.1,4.6,4.0,8.4,19.4,2019
12,Boston Celtics,9,102.1,35.7,84.1,42.4,11.3,33.0,34.3,19.4,24.2,80.3,7.4,40.3,47.8,21.4,5.9,3.8,14.8,20.8,2019
13,Detroit Pistons,4,98.0,37.5,96.8,38.8,11.0,33.3,33.1,12.0,16.5,72.7,10.8,31.5,42.3,23.0,7.3,4.0,10.5,24.3,2019
14,Utah Jazz,5,97.8,34.6,86.4,40.0,9.4,35.8,26.3,19.2,25.6,75.0,11.8,35.4,47.2,23.0,9.2,5.4,15.2,21.8,2019
15,Orlando Magic,5,92.0,32.2,83.0,38.8,10.4,34.8,29.9,17.2,22.2,77.5,9.6,33.8,43.4,19.0,6.6,4.0,15.6,18.8,2019
16,Indiana Pacers,4,91.8,33.5,83.5,40.1,10.0,29.8,33.6,14.8,20.5,72.0,8.0,32.3,40.3,20.8,8.3,3.5,12.0,20.0,2019
1,Dallas Mavericks,6,117.0,42.2,89.2,47.3,13.5,37.5,36.0,19.2,26.5,72.3,7.7,35.5,43.2,21.5,6.5,3.7,12.7,22.5,2020
2,LA Clippers,13,114.0,40.9,86.4,47.4,12.1,32.8,36.8,20.1,25.2,79.8,9.5,34.5,44.0,21.2,7.5,3.7,13.0,22.9,2020
3,Utah Jazz,7,113.4,39.9,81.9,48.7,15.7,37.3,42.1,18.0,23.3,77.3,9.3,31.9,41.1,21.4,6.1,3.1,12.0,19.0,2020
4,Los Angeles Lakers,21,112.8,41.0,84.0,48.9,12.1,34.2,35.4,18.6,24.6,75.8,10.6,33.5,44.1,25.6,8.0,5.3,15.4,22.7,2020
5,Milwaukee Bucks,10,111.1,40.1,87.1,46.0,13.3,37.1,35.8,17.6,24.3,72.4,9.4,37.3,46.7,24.3,7.2,4.2,14.9,21.7,2020
6,Miami Heat,21,110.0,37.7,82.0,46.0,12.8,35.5,35.9,21.8,26.4,82.5,7.8,33.6,41.3,24.9,6.9,3.9,13.2,19.9,2020
7,Toronto Raptors,11,109.4,39.1,88.5,44.2,14.6,40.3,36.3,16.5,21.3,77.8,8.2,36.5,44.6,24.8,7.1,5.5,13.1,22.5,2020
8,Boston Celtics,17,109.4,38.6,84.9,45.4,12.4,36.4,34.1,19.8,24.2,81.6,8.8,36.5,45.2,22.6,6.7,4.8,13.9,22.3,2020
9,Houston Rockets,12,107.7,37.4,85.8,43.6,16.9,46.8,36.2,15.9,20.2,78.9,6.7,32.2,38.8,21.3,9.1,3.5,13.4,22.2,2020
10,Denver Nuggets,19,107.4,38.8,82.5,47.1,12.3,32.4,37.9,17.5,21.4,81.6,9.3,31.4,40.6,22.5,6.2,4.0,13.9,22.4,2020
11,Orlando Magic,5,107.0,37.2,88.6,42.0,15.0,39.8,37.7,17.6,21.0,83.8,6.6,36.4,43.0,23.8,6.8,3.2,14.6,21.0,2020
12,Portland Trail Blazers,5,106.6,37.6,88.2,42.6,11.6,30.6,37.9,19.8,25.0,79.2,9.8,33.0,42.8,17.8,7.4,3.6,16.0,25.0,2020
13,Brooklyn Nets,4,105.8,36.3,91.3,39.7,15.5,46.0,33.7,17.8,24.5,72.4,9.3,35.0,44.3,25.8,5.0,4.5,14.5,21.3,2020
14,Oklahoma City Thunder,7,104.0,36.7,85.4,43.0,12.0,36.6,32.8,18.6,24.0,77.4,9.0,40.9,49.9,17.9,5.3,4.0,17.0,17.1,2020
15,Indiana Pacers,4,100.8,36.5,80.3,45.5,12.0,32.0,37.5,15.8,20.3,77.8,5.8,30.8,36.5,22.5,9.3,5.5,15.3,23.3,2020
16,Philadelphia 76ers,4,100.5,33.3,84.0,39.6,8.0,30.3,26.4,26.0,32.0,81.3,12.3,33.8,46.0,17.5,5.0,4.5,12.0,22.3,2020
1,Portland Trail Blazers,6,119.5,42.0,88.3,47.5,16.2,39.2,41.3,19.3,22.7,85.3,9.3,32.3,41.7,22.8,5.2,5.5,11.7,23.2,2021
2,Utah Jazz,11,116.9,39.7,84.2,47.2,18.0,43.6,41.3,19.5,24.3,80.2,9.4,33.0,42.4,19.6,5.2,4.1,12.5,21.5,2021
3,Philadelphia 76ers,12,116.3,42.5,85.8,49.6,11.2,28.4,39.3,20.1,29.3,68.5,9.0,35.7,44.7,24.9,8.0,6.2,12.3,23.0,2021
4,Memphis Grizzlies,5,115.0,44.2,94.4,46.8,10.4,31.6,32.9,16.2,20.4,79.4,11.2,30.0,41.2,22.0,8.0,4.0,10.4,20.6,2021
5,Denver Nuggets,10,114.8,42.1,92.2,45.7,14.7,38.5,38.2,15.9,20.9,76.1,11.7,31.9,43.6,24.9,6.1,4.3,10.7,20.4,2021
6,Brooklyn Nets,12,112.5,40.7,86.2,47.2,13.6,35.6,38.2,17.6,20.3,86.8,8.3,34.3,42.6,22.6,7.1,4.8,10.8,21.2,2021
7,Boston Celtics,5,112.2,38.4,88.2,43.5,12.8,36.6,35.0,22.6,27.4,82.5,12.6,28.8,41.4,21.0,6.4,7.0,12.2,21.0,2021
8,LA Clippers,19,111.6,39.1,81.9,47.7,13.8,36.4,38.1,19.5,23.7,82.3,8.8,32.4,41.2,20.8,6.8,4.3,9.5,19.5,2021
9,Milwaukee Bucks,23,110.3,42.1,91.1,46.2,11.2,35.0,32.1,14.9,20.8,71.8,12.8,36.1,49.0,22.8,7.8,4.2,12.1,18.0,2021
10,Washington Wizards,5,110.0,40.6,88.6,45.8,7.0,24.2,28.9,21.8,29.0,75.2,10.6,32.8,43.4,22.4,4.8,4.8,12.8,24.0,2021
11,Phoenix Suns,22,109.0,40.9,85.0,48.1,11.2,29.7,37.6,16.0,18.6,86.1,8.0,34.7,42.7,23.2,6.5,4.2,11.4,19.7,2021
12,Atlanta Hawks,18,106.3,38.9,86.8,44.9,11.7,34.2,34.3,16.7,20.9,79.8,9.1,33.3,42.4,20.2,6.7,4.4,11.9,21.2,2021
13,Dallas Mavericks,7,106.0,39.1,86.0,45.5,13.6,35.0,38.8,14.1,20.0,70.7,10.3,30.3,40.6,20.7,5.6,2.1,10.3,20.3,2021
14,Miami Heat,4,98.0,35.3,89.3,39.5,12.0,35.8,33.6,15.5,20.3,76.5,9.0,33.3,42.3,21.5,7.3,3.5,13.8,20.5,2021
15,Los Angeles Lakers,6,97.5,34.3,83.0,41.4,9.8,32.8,29.9,19.0,24.5,77.6,10.5,32.7,43.2,19.3,6.7,4.0,13.2,20.5,2021
16,New York Knicks,5,97.0,34.4,86.4,39.8,10.4,30.4,34.2,17.8,21.8,81.7,11.8,34.6,46.4,18.6,5.8,2.8,11.4,19.8,2021
1,Memphis Grizzlies,12,112.5,39.8,91.3,43.5,13.1,35.8,36.5,19.9,27.1,73.5,12.4,33.4,45.8,25.2,9.2,6.1,12.9,20.8,2022
2,Golden State Warriors,22,111.9,41.4,86.1,48.0,14.0,37.3,37.5,15.1,19.8,76.6,9.8,34.1,43.9,27.0,7.7,5.0,13.8,21.5,2022
3,Denver Nuggets,5,110.0,39.4,82.8,47.6,11.2,31.4,35.7,20.0,25.2,79.4,11.2,30.6,41.8,25.0,7.0,3.4,15.4,25.0,2022
4,New Orleans Pelicans,6,109.8,39.0,84.3,46.2,9.3,26.3,35.4,22.5,28.8,78.0,15.2,30.5,45.7,21.3,6.3,3.5,13.8,21.2,2022
5,Minnesota Timberwolves,6,109.2,36.3,82.0,44.3,13.8,35.7,38.8,22.7,28.0,81.0,7.0,33.0,40.0,22.8,8.2,7.8,16.8,26.8,2022
6,Brooklyn Nets,4,109.0,39.3,78.0,50.3,11.5,27.3,42.2,19.0,25.8,73.8,8.5,25.5,34.0,22.3,8.0,6.5,14.5,24.8,2022
7,Phoenix Suns,13,107.6,41.2,82.8,49.7,9.8,27.2,36.3,15.5,18.9,81.7,9.5,30.7,40.2,25.7,6.6,3.8,12.8,22.5,2022
8,Dallas Mavericks,18,106.3,36.3,80.8,44.9,15.8,41.5,38.0,18.0,23.3,77.1,6.5,30.0,36.5,19.2,7.2,2.8,9.4,21.1,2022
9,Boston Celtics,24,105.5,36.7,81.8,44.9,13.7,36.6,37.3,18.5,23.2,79.7,9.0,33.9,42.9,24.5,6.4,6.3,14.0,20.7,2022
10,Philadelphia 76ers,12,104.5,36.4,78.3,46.5,12.4,33.3,37.3,19.3,22.7,84.9,7.7,31.3,39.0,21.8,6.1,4.3,13.7,20.6,2022
11,Miami Heat,18,104.2,38.0,85.3,44.5,10.9,34.8,31.3,17.3,21.6,80.4,9.8,31.2,41.1,21.9,8.3,3.7,12.0,21.4,2022
12,Toronto Raptors,6,103.2,38.3,86.0,44.6,9.8,32.8,29.9,16.7,21.0,79.4,10.0,27.5,37.5,20.7,6.7,4.8,9.2,22.2,2022
13,Milwaukee Bucks,12,102.8,38.5,88.0,43.8,10.6,32.3,32.7,15.2,20.8,73.1,9.8,40.7,50.4,20.8,6.3,4.5,13.1,19.1,2022
14,Utah Jazz,6,99.0,35.0,79.0,44.3,8.2,29.8,27.4,20.8,26.5,78.6,9.3,35.5,44.8,17.2,4.0,3.7,11.7,22.0,2022
15,Atlanta Hawks,5,97.4,34.4,78.2,44.0,11.4,35.0,32.6,17.2,22.0,78.2,8.6,30.8,39.4,18.6,5.8,2.4,16.4,21.6,2022
16,Chicago Bulls,5,95.2,36.4,90.2,40.4,10.4,36.8,28.3,12.0,14.4,83.3,8.2,35.8,44.0,23.0,7.8,3.2,12.6,18.6,2022
