RK,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Year
12,Dallas Mavericks,6,92.8,34.0,79.3,42.9,6.3,19.3,32.8,18.5,23.3,79.3,12.0,31.8,43.8,18.5,7.5,5.0,13.0,22.5,2010
13,Milwaukee Bucks,7,90.0,33.7,79.6,42.4,6.6,21.3,30.9,16.0,19.9,80.6,11.1,28.0,39.1,16.3,6.3,3.3,12.4,21.0,2010
14,Atlanta Hawks,11,89.5,33.8,79.6,42.5,4.5,13.6,33.3,17.3,22.0,78.5,13.0,26.9,39.9,16.4,6.4,5.1,11.7,21.2,2010
15,Miami Heat,5,87.6,33.6,77.2,43.5,6.8,18.2,37.4,13.6,18.6,73.1,9.4,28.2,37.6,17.6,7.0,5.0,17.8,22.8,2010
16,Charlotte Bobcats,4,85.5,31.3,70.5,44.3,4.8,17.0,27.9,18.3,25.5,71.6,8.5,28.0,36.5,20.3,5.5,4.5,15.5,26.8,2010
1,Oklahoma City Thunder,17,102.5,35.3,79.7,44.3,6.3,19.9,31.6,25.6,31.4,81.6,13.1,32.9,45.9,17.6,6.8,7.6,15.4,25.0,2011
2,Memphis Grizzlies,13,98.6,36.7,84.0,43.7,3.8,12.1,31.8,21.4,28.2,76.0,12.5,30.6,43.1,18.8,8.0,6.0,13.1,23.6,2011
3,Dallas Mavericks,21,98.2,34.5,74.9,46.1,8.8,22.2,39.4,20.5,25.4,80.9,9.7,28.7,38.4,20.1,7.1,4.1,12.9,20.1,2011
4,Denver Nuggets,5,97.4,32.6,77.0,42.3,6.8,18.4,37.0,25.4,36.0,70.6,7.4,30.6,38.0,17.6,6.6,3.6,12.2,23.8,2011
5,Boston Celtics,9,94.7,35.8,76.9,46.5,7.4,16.0,46.5,15.7,20.1,77.9,8.9,30.1,39.0,21.0,7.3,4.2,15.7,21.9,2011
6,San Antonio Spurs,6,94.3,33.7,77.2,43.6,5.3,18.2,29.4,21.7,28.5,76.0,10.2,31.5,41.7,17.8,7.3,5.8,14.3,21.5,2011
7,Los Angeles Lakers,10,93.2,34.7,77.8,44.6,4.8,16.6,28.9,19.0,24.5,77.6,12.6,28.3,40.9,18.9,6.9,5.1,12.5,20.6,2011
8,Miami Heat,21,92.8,32.6,73.3,44.5,5.9,17.9,33.1,21.6,27.8,77.7,10.1,30.9,41.0,16.5,7.3,6.0,13.9,19.2,2011
9,Chicago Bulls,16,92.5,34.0,80.6,42.2,6.3,19.2,32.9,18.2,23.2,78.4,13.4,30.2,43.6,20.1,7.3,6.6,13.6,21.3,2011
10,New York Knicks,4,90.8,32.0,83.0,38.6,8.3,23.8,34.7,18.5,24.8,74.7,14.5,26.0,40.5,16.8,6.5,6.8,15.3,18.8,2011
11,Indiana Pacers,5,90.2,32.8,80.2,40.9,5.8,15.4,37.7,18.8,24.4,77.0,13.0,25.4,38.4,16.0,8.2,5.6,15.2,23.0,2011
12,New Orleans Hornets,6,89.3,32.8,71.8,45.7,4.5,14.0,32.1,19.2,25.8,74.2,7.7,25.8,33.5,20.2,7.2,3.0,12.8,23.7,2011
13,Orlando Magic,6,88.7,31.0,75.8,40.9,6.2,23.5,26.2,20.5,27.8,73.7,11.8,30.5,42.3,14.5,6.5,4.0,12.8,21.5,2011
14,Portland Trail Blazers,6,88.2,33.2,73.2,45.3,5.0,16.7,30.0,16.8,21.5,78.3,9.2,28.5,37.7,17.0,5.7,5.2,11.5,20.8,2011
