RK,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Year
15,Memphis Grizzlies,72,113.3,42.8,91.8,46.7,11.2,31.4,35.6,16.4,21.3,77.1,11.2,35.3,46.5,26.9,9.1,5.1,12.7,18.7,2021
16,Boston Celtics,72,112.6,41.5,88.9,46.6,13.6,36.4,37.4,16.1,20.8,77.5,10.6,33.6,44.3,23.5,7.7,5.3,13.4,20.4,2021
17,Dallas Mavericks,72,112.4,41.1,87.3,47.0,13.8,38.1,36.2,16.5,21.2,77.8,9.1,34.2,43.3,22.9,6.3,4.3,11.4,19.4,2021
18,Minnesota Timberwolves,72,112.1,40.7,90.9,44.8,13.1,37.6,34.9,17.6,23.1,76.1,10.5,33.0,43.5,25.6,8.8,5.5,13.7,20.9,2021
19,Toronto Raptors,72,111.3,39.7,88.7,44.8,14.5,39.3,36.8,17.4,21.3,81.5,9.4,32.1,41.6,24.1,8.6,5.4,12.5,21.2,2021
20,San Antonio Spurs,72,111.1,41.9,90.5,46.2,9.9,28.4,35.0,17.4,22.0,79.2,9.3,34.6,43.9,24.4,7.0,5.1,11.0,18.0,2021
21,Chicago Bulls,72,110.7,42.2,88.6,47.6,12.6,34.0,37.0,13.8,17.5,79.1,9.6,35.3,45.0,26.8,6.7,4.2,14.5,18.9,2021
22,Los Angeles Lakers,72,109.5,40.6,86.1,47.2,11.1,31.2,35.4,17.2,23.3,73.9,9.7,34.6,44.2,24.7,7.8,5.4,14.7,19.1,2021
23,Charlotte Hornets,72,109.5,39.9,87.8,45.5,13.7,37.0,36.9,15.9,20.9,76.1,10.6,33.2,43.8,26.8,7.8,4.8,14.2,18.0,2021
24,Houston Rockets,72,108.8,39.3,88.5,44.3,13.8,40.6,33.9,16.5,22.3,74.0,9.3,33.3,42.6,23.6,7.6,5.0,14.2,19.5,2021
25,Miami Heat,72,108.1,39.2,83.7,46.8,12.9,36.2,35.8,16.7,21.1,79.0,8.0,33.5,41.5,26.3,7.9,4.0,13.3,18.9,2021
26,New York Knicks,72,107.0,39.4,86.5,45.6,11.8,30.0,39.2,16.4,20.9,78.4,9.7,35.5,45.1,21.4,7.0,5.1,12.2,20.5,2021
27,Detroit Pistons,72,106.6,38.7,85.6,45.2,11.6,32.9,35.1,17.8,23.4,75.9,9.6,33.1,42.7,24.2,7.4,5.2,14.2,20.5,2021
28,Oklahoma City Thunder,72,105.0,38.8,88.0,44.1,11.9,35.1,33.9,15.5,21.3,72.5,9.9,35.7,45.6,22.1,7.0,4.4,15.4,18.1,2021
29,Orlando Magic,72,104.0,38.3,89.2,42.9,10.9,31.8,34.3,16.6,21.4,77.5,10.4,35.1,45.4,21.8,6.9,4.4,12.3,17.2,2021
30,Cleveland Cavaliers,72,103.8,38.6,85.8,45.0,10.0,29.7,33.6,16.7,22.4,74.3,10.4,32.3,42.8,23.8,7.8,4.5,14.4,18.2,2021
1,Minnesota Timberwolves,82,115.9,41.6,91.0,45.7,14.8,41.3,35.8,18.0,23.1,77.8,11.2,32.9,44.2,25.7,8.8,5.6,13.7,21.8,2022
2,Memphis Grizzlies,82,115.6,43.5,94.4,46.1,11.5,32.7,35.3,17.0,23.1,73.4,14.1,35.0,49.2,26.0,9.8,6.5,12.5,19.8,2022
3,Milwaukee Bucks,82,115.5,41.8,89.4,46.8,14.1,38.4,36.6,17.8,22.9,77.6,10.3,36.5,46.7,23.9,7.6,4.0,12.7,18.2,2022
