RK,Name,POS,GP,AB,R,H,AVG,2B,3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR,Year
15,Nicky LopezKC,2B,151,497,78,149,0.3,21,6,2,43,188,49,74,22,0.365,0.378,0.744,4.2,2021
16,Bo BichetteTOR,SS,159,640,121,191,0.298,30,1,29,102,310,40,137,25,0.343,0.484,0.828,6.0,2021
17,Brandon CrawfordSF,SS,139,483,79,144,0.298,30,3,24,90,252,56,105,11,0.373,0.522,0.895,6.1,2021
18,Teoscar HernandezTOR,RF,143,550,92,163,0.296,29,0,32,116,288,36,148,12,0.346,0.524,0.87,4.0,2021
19,Xander BogaertsBOS,SS,144,529,90,156,0.295,34,1,23,79,261,62,113,5,0.37,0.493,0.863,4.9,2021
20,Kyle TuckerHOU,RF,140,506,83,149,0.294,37,3,30,92,282,53,90,14,0.359,0.557,0.917,5.7,2021
21,Paul GoldschmidtSTL,1B,158,603,102,177,0.294,36,2,31,99,310,67,136,12,0.365,0.514,0.879,6.2,2021
22,Ty FranceSEA,1B,152,571,85,166,0.291,32,1,18,73,254,46,106,0,0.368,0.445,0.813,4.2,2021
23,Cedric MullinsBAL,CF,159,602,91,175,0.291,37,5,30,59,312,59,125,30,0.36,0.518,0.878,5.7,2021
24,Jean SeguraPHI,2B,131,514,76,149,0.29,27,3,14,58,224,39,78,9,0.348,0.436,0.784,3.7,2021
25,Alex VerdugoBOS,LF,146,544,88,157,0.289,32,2,13,63,232,51,96,6,0.351,0.426,0.777,2.2,2021
26,Wander FrancoTB,SS,70,281,53,81,0.288,18,5,7,39,130,24,37,2,0.347,0.463,0.81,3.5,2021
27,Aaron JudgeNYY,RF,148,550,89,158,0.287,24,0,39,98,299,75,158,6,0.373,0.544,0.916,5.9,2021
28,Tyler O'NeillSTL,LF,141,482,89,138,0.286,26,2,34,80,270,38,168,15,0.352,0.56,0.912,6.3,2021
29,J.D. MartinezBOS,DH,148,570,92,163,0.286,42,3,28,99,295,55,150,0,0.349,0.518,0.867,3.0,2021
30,Fernando Tatis Jr.SD,SS,130,478,99,135,0.282,31,0,42,97,292,62,153,25,0.364,0.611,0.975,6.6,2021
31,Amed RosarioCLE,SS,141,550,77,155,0.282,25,6,11,57,225,31,120,13,0.321,0.409,0.731,2.1,2021
