RK,Name,POS,GP,GS,QS,ERA,W,L,SV,HLD,IP,H,ER,HR,BB,K,K/9,WAR,WHIP,Year
7,Robbie RayTOR,SP,32,32,23,2.84,13,7,0,0,193.1,150,61,33,52,248,11.5,6.7,1.04,2021
8,Julio UriasLAD,SP,32,32,13,2.96,20,3,0,0,185.2,151,61,19,38,195,9.5,4.4,1.02,2021
9,Marcus StromanNYM,SP,33,33,16,3.02,10,13,0,0,179.0,161,60,17,44,158,7.9,3.3,1.15,2021
10,Max FriedATL,SP,28,28,19,3.04,14,7,0,0,165.2,139,56,15,41,158,8.6,4.7,1.09,2021
11,Adam WainwrightSTL,SP,32,32,22,3.05,17,7,0,0,206.1,168,70,21,50,174,7.6,3.5,1.06,2021
12,Lance McCullers Jr.HOU,SP,28,28,15,3.16,13,5,0,0,162.1,122,57,13,76,185,10.3,3.5,1.22,2021
13,Anthony DeSclafaniSF,SP,31,31,15,3.17,13,7,0,0,167.2,141,59,19,42,152,8.2,4.1,1.09,2021
14,Joe MusgroveSD,SP,40,31,15,3.18,11,9,0,0,181.1,142,64,22,54,203,10.1,3.5,1.08,2021
15,Sandy AlcantaraMIA,SP,33,33,23,3.19,9,15,0,0,205.2,171,73,21,50,201,8.8,4.1,1.07,2021
16,Gerrit ColeNYY,SP,30,30,18,3.23,16,8,0,0,181.1,151,65,24,41,243,12.1,5.6,1.06,2021
17,Charlie MortonATL,SP,33,33,19,3.34,14,6,0,0,185.2,136,69,16,58,216,10.5,4.2,1.04,2021
18,Wade MileyCIN,SP,28,28,15,3.37,12,7,0,0,163.0,166,61,17,50,125,6.9,5.7,1.33,2021
19,Frankie MontasOAK,SP,32,32,20,3.37,13,9,0,0,187.0,164,70,20,57,207,10.0,3.7,1.18,2021
20,Jose BerriosTOR/MIN,SP,32,32,17,3.52,12,9,0,0,192.0,159,75,22,45,204,9.6,3.3,1.06,2021
21,Lucas GiolitoCHW,SP,31,31,15,3.53,11,9,0,0,178.2,145,70,27,52,201,10.1,4.3,1.1,2021
22,Chris FlexenSEA,SP,31,31,15,3.61,14,6,0,0,179.2,185,72,19,40,125,6.3,3.5,1.25,2021
23,Kyle GibsonPHI/TEX,SP,31,30,19,3.71,10,9,0,0,182.0,158,75,17,64,155,7.7,3.6,1.22,2021
24,Tyler MahleCIN,SP,33,33,12,3.75,13,6,0,0,180.0,158,75,24,64,210,10.5,5.3,1.23,2021
25,Nathan EovaldiBOS,SP,32,32,13,3.75,11,9,0,0,182.1,182,76,15,35,195,9.6,4.6,1.19,2021
26,Dylan CeaseCHW,SP,32,32,10,3.91,13,7,0,0,165.2,139,72,20,68,226,12.3,2.9,1.25,2021
27,Sean ManaeaOAK,SP,32,32,15,3.91,11,10,0,0,179.1,179,78,25,41,194,9.7,3.2,1.23,2021
28,Luis CastilloCIN,SP,33,33,18,3.98,8,16,0,0,187.2,181,83,19,75,192,9.2,4.7,1.36,2021
29,Zack GreinkeHOU,SP,30,29,15,4.16,11,6,0,1,171.0,164,79,30,36,120,6.3,1.2,1.17,2021
30,Yu DarvishSD,SP,30,30,13,4.22,8,11,0,0,166.1,138,78,28,44,199,10.8,1.4,1.09,2021
31,Cole IrvinOAK,SP,32,32,15,4.24,10,15,0,0,178.1,195,84,23,42,125,6.3,1.3,1.33,2021
32,Hyun Jin RyuTOR,SP,31,31,13,4.37,14,10,0,0,169.0,170,82,24,37,143,7.6,1.7,1.22,2021
33,German MarquezCOL,SP,32,32,17,4.4,12,11,0,0,180.0,165,88,21,64,176,8.8,2.6,1.27,2021
34,Tyler AndersonPIT/SEA,SP,31,31,11,4.53,7,11,0,0,167.0,170,84,27,38,134,7.2,1.6,1.25,2021
35,Aaron NolaPHI,SP,32,32,11,4.63,9,9,0,0,180.2,165,93,26,39,223,11.1,2.4,1.13,2021
36,Kyle HendricksCHC,SP,32,32,19,4.77,14,7,0,0,181.0,200,96,31,44,131,6.5,0.9,1.35,2021
37,Jordan LylesTEX,SP,32,30,13,5.15,10,13,0,0,180.0,194,103,38,56,146,7.3,-0.1,1.39,2021
38,Dallas KeuchelCHW,SP,32,30,9,5.28,9,9,0,0,162.0,189,95,25,59,95,5.3,0.1,1.53,2021
39,Patrick CorbinWSH,SP,31,31,13,5.82,9,16,0,0,171.2,192,111,37,60,143,7.5,-1.1,1.47,2021
1,Justin VerlanderHOU,SP,28,28,21,1.75,18,4,0,0,175.0,116,34,12,29,185,9.5,5.9,0.83,2022
2,Julio UriasLAD,SP,31,31,19,2.16,17,7,0,0,175.0,127,42,23,41,166,8.5,4.9,0.96,2022
3,Dylan CeaseCHW,SP,32,32,16,2.2,14,8,0,0,184.0,126,45,16,78,227,11.1,6.4,1.11,2022
4,Alek ManoahTOR,SP,31,31,25,2.24,16,7,0,0,196.2,144,49,16,51,180,8.2,5.9,0.99,2022
5,Sandy AlcantaraMIA,SP,32,32,24,2.28,14,9,0,0,228.2,174,58,16,50,207,8.1,8.1,0.98,2022
6,Shohei OhtaniLAA,SP,28,28,16,2.33,15,9,0,0,166.0,124,43,14,44,219,11.9,6.1,1.01,2022
7,Max FriedATL,SP,30,30,21,2.48,14,7,0,0,185.1,156,51,12,32,170,8.3,5.9,1.01,2022
8,Shane McClanahanTB,SP,28,28,18,2.54,12,8,0,0,166.1,116,47,19,38,194,10.5,4.0,0.93,2022
9,Zac GallenARI,SP,31,31,19,2.54,12,4,0,0,184.0,121,52,15,47,192,9.4,5.1,0.91,2022
10,Tyler AndersonLAD,SP,30,28,18,2.57,15,5,0,0,178.2,145,51,14,34,138,7.0,4.3,1.0,2022
11,Framber ValdezHOU,SP,31,31,26,2.82,17,6,0,0,201.1,166,63,11,67,194,8.7,3.7,1.16,2022
12,Shane BieberCLE,SP,31,31,23,2.88,13,8,0,0,200.0,172,64,18,36,198,8.9,3.6,1.04,2022
13,Carlos RodonSF,SP,31,31,16,2.88,14,8,0,0,178.0,131,57,12,52,237,12.0,5.4,1.03,2022
14,Martin PerezTEX,SP,32,32,23,2.89,12,8,0,0,196.1,178,63,11,69,169,7.7,5.0,1.26,2022
15,Logan WebbSF,SP,32,32,19,2.9,15,9,0,0,192.1,174,62,11,49,163,7.6,4.8,1.16,2022
16,Jose QuintanaPIT/STL,SP,32,32,9,2.93,6,7,0,0,165.2,154,54,8,47,137,7.4,3.5,1.21,2022
17,Joe MusgroveSD,SP,30,30,21,2.93,10,7,0,0,181.0,154,59,22,42,184,9.1,3.2,1.08,2022
18,Corbin BurnesMIL,SP,33,33,21,2.94,12,8,0,0,202.0,144,66,23,51,243,10.8,4.1,0.97,2022
19,Triston McKenzieCLE,SP,31,30,18,2.96,11,11,0,0,191.1,138,63,25,44,190,8.9,4.0,0.95,2022
20,Yu DarvishSD,SP,30,30,25,3.1,16,8,0,0,194.2,148,67,22,37,197,9.1,4.5,0.95,2022
21,Kyle WrightATL,SP,30,30,19,3.19,21,5,0,0,180.1,156,64,19,53,174,8.7,3.6,1.16,2022
22,Logan GilbertSEA,SP,32,32,16,3.2,13,6,0,0,185.2,170,66,19,49,174,8.4,3.2,1.18,2022
23,Aaron NolaPHI,SP,32,32,18,3.25,11,13,0,0,205.0,168,74,19,29,235,10.3,6.0,0.96,2022
24,Miles MikolasSTL,SP,33,32,22,3.29,12,13,0,0,202.1,170,74,25,39,153,6.8,2.4,1.03,2022
25,Kevin GausmanTOR,SP,31,31,17,3.35,12,10,0,0,174.2,188,65,15,28,205,10.6,3.0,1.24,2022
26,Merrill KellyARI,SP,33,33,18,3.37,13,8,0,0,200.1,167,75,21,61,177,8.0,3.5,1.14,2022
27,Cal QuantrillCLE,SP,32,32,17,3.38,15,5,0,0,186.1,178,70,21,47,128,6.2,2.0,1.21,2022
28,Chris BassittNYM,SP,30,30,19,3.42,15,9,0,0,181.2,159,69,19,49,167,8.3,3.2,1.14,2022
29,Jordan MontgomerySTL/NYY,SP,32,32,14,3.48,9,6,0,0,178.1,159,69,21,36,158,8.0,1.6,1.09,2022
30,Gerrit ColeNYY,SP,33,33,21,3.5,13,8,0,0,200.2,154,78,33,50,257,11.5,2.4,1.02,2022
31,Adam WainwrightSTL,SP,32,32,16,3.71,11,12,0,0,191.2,192,79,16,54,143,6.7,1.8,1.28,2022
32,Robbie RaySEA,SP,32,32,18,3.71,12,12,0,0,189.0,163,78,32,62,212,10.1,2.1,1.19,2022
33,Pablo LopezMIA,SP,32,32,14,3.75,10,10,0,0,180.0,157,75,21,53,174,8.7,3.0,1.17,2022
34,Jameson TaillonNYY,SP,32,32,12,3.91,14,5,0,0,177.1,168,77,26,32,151,7.7,1.2,1.13,2022
35,Jose UrquidyHOU,SP,29,28,15,3.94,13,8,0,0,164.1,154,72,29,38,134,7.3,1.3,1.17,2022
36,Cole IrvinOAK,SP,30,30,15,3.98,9,13,0,0,181.0,174,80,25,36,128,6.4,2.1,1.16,2022
37,Marco GonzalesSEA,SP,32,32,18,4.13,10,15,0,0,183.0,194,84,30,50,103,5.1,-0.1,1.33,2022
38,Corey KluberTB,SP,31,31,15,4.34,10,10,0,0,164.0,178,79,20,21,139,7.6,0.6,1.21,2022
39,Charlie MortonATL,SP,31,31,9,4.34,9,6,0,0,172.0,149,83,28,63,205,10.7,1.6,1.23,2022
40,Jordan LylesBAL,SP,32,32,13,4.42,12,11,0,0,179.0,196,88,26,52,144,7.2,1.0,1.39,2022
41,Kyle FreelandCOL,SP,31,31,13,4.53,9,11,0,0,174.2,193,88,19,53,131,6.8,2.4,1.41,2022
42,Nick PivettaBOS,SP,33,33,12,4.56,10,12,0,0,179.2,175,91,27,73,175,8.8,2.6,1.38,2022
43,German MarquezCOL,SP,31,31,17,5.0,9,13,0,0,181.2,185,101,30,63,150,7.4,1.4,1.37,2022
44,Kyle GibsonPHI,SP,31,31,15,5.05,10,8,0,0,167.2,176,94,24,48,144,7.7,0.6,1.34,2022
45,Jose BerriosTOR,SP,32,32,17,5.23,12,7,0,0,172.0,199,100,29,45,149,7.8,-0.5,1.42,2022
