RK,Name,POS,GP,GS,FIP,TC,PO,A,FP,E,DP,RF,PB,SBA,CS,CS%,DWAR,Year
1,Jonathan LucroyTEX,C,3,3,28,19,19,0,1.0,0,0,6.2,2,1,0,0.0,0.0,2016
1,Sandy LeonBOS,C,3,3,25,34,31,3,1.0,0,0,12.2,0,1,1,0.5,0.0,2016
1,Pedro SeverinoWSH,C,4,2,22,26,24,2,1.0,0,0,10.6,0,0,0,0.0,0.0,2016
9,Roberto PerezCLE,C,15,15,126,143,137,5,0.993,1,1,10.1,0,4,1,0.2,0.0,2016
10,Yasmani GrandalLAD,C,10,9,76,103,97,4,0.981,2,2,12.0,1,8,1,0.111,0.0,2016
11,Willson ContrerasCHC,C,16,9,93,89,81,4,0.955,4,0,8.3,2,6,0,0.0,0.0,2016
1,Brian McCannHOU,C,17,17,150,172,166,6,1.0,0,0,10.3,0,3,3,0.5,0.0,2017
1,Jason CastroMIN,C,1,1,7,6,6,0,1.0,0,0,7.7,0,0,0,0.0,0.0,2017
1,Jonathan LucroyCOL,C,1,1,8,13,12,1,1.0,0,0,14.6,0,0,0,0.0,0.0,2017
1,Gary SanchezNYY,C,13,12,106,112,106,6,1.0,0,0,9.5,0,3,0,0.0,0.0,2017
1,Willson ContrerasCHC,C,10,10,87,89,82,7,1.0,0,0,9.2,1,4,1,0.2,0.0,2017
1,Austin BarnesLAD,C,14,13,116,119,118,1,1.0,0,0,9.3,1,3,0,0.0,0.0,2017
7,Roberto PerezCLE,C,4,4,32,51,48,2,0.98,1,1,14.1,1,1,1,0.5,0.0,2017
8,Matt WietersWSH,C,5,5,41,50,47,1,0.96,2,0,10.5,1,2,0,0.0,0.0,2017
9,Jeff MathisARI,C,3,3,25,22,19,2,0.955,1,0,7.6,0,0,0,0.0,0.0,2017
10,Chris GimenezMIN,C,1,0,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,2017
1,Chris IannettaCOL,C,4,3,25,23,22,1,1.0,0,0,8.4,0,4,1,0.2,0.0,2018
1,Gary SanchezNYY,C,5,5,44,42,42,0,1.0,0,0,8.6,0,5,0,0.0,0.0,2018
1,Tony WoltersCOL,C,3,1,10,14,12,2,1.0,0,0,12.6,0,1,0,0.0,0.0,2018
1,Sandy LeonBOS,C,10,4,46,54,52,2,1.0,0,0,10.6,0,1,1,0.5,0.0,2018
1,Yan GomesCLE,C,3,3,25,25,24,1,1.0,0,0,9.0,0,1,1,0.5,0.0,2018
1,Willson ContrerasCHC,C,1,1,13,13,13,0,1.0,0,0,9.0,0,0,0,0.0,0.0,2018
7,Christian VazquezBOS,C,12,10,87,84,80,3,0.988,1,0,8.6,1,1,2,0.667,0.0,2018
8,Erik KratzMIL,C,9,7,65,80,75,4,0.988,1,0,10.9,0,5,1,0.167,0.0,2018
1,Yadier MolinaSTL,C,9,9,79,97,93,4,1.0,0,1,11.1,1,1,2,0.667,0.0,2019
1,Josh PhegleyOAK,C,1,0,5,5,5,0,1.0,0,0,9.0,0,0,0,0.0,0.0,2019
1,Gary SanchezNYY,C,9,9,82,91,88,3,1.0,0,0,10.0,3,3,0,0.0,0.0,2019
1,Sean MurphyOAK,C,1,1,4,7,6,1,1.0,0,0,15.8,0,1,0,0.0,0.0,2019
1,Will SmithLAD,C,4,4,36,38,35,3,1.0,0,0,9.5,0,0,0,0.0,0.0,2019
1,Travis d'ArnaudATL,C,12,12,103,119,116,3,1.0,0,0,10.4,2,3,1,0.25,0.0,2020
1,Martin MaldonadoHOU,C,13,12,107,129,126,3,1.0,0,0,10.9,2,1,2,0.667,0.0,2020
1,Kyle HigashiokaNYY,C,5,5,43,57,56,1,1.0,0,0,11.9,0,0,0,0.0,0.0,2020
1,Tucker BarnhartCIN,C,2,1,13,24,24,0,1.0,0,0,16.2,0,1,0,0.0,0.0,2020
1,Curt CasaliCIN,C,2,1,7,13,12,1,1.0,0,0,16.7,0,1,0,0.0,0.0,2020
1,Roberto PerezCLE,C,2,2,14,17,16,1,1.0,0,0,10.9,0,0,0,0.0,0.0,2020
1,Willson ContrerasCHC,C,2,1,11,10,10,0,1.0,0,0,8.2,1,3,0,0.0,0.0,2020
1,Mike ZuninoTB,C,19,18,153,172,155,17,1.0,0,1,10.1,5,7,3,0.3,0.0,2020
1,Austin NolaSD,C,6,5,48,46,44,2,1.0,0,0,8.6,0,3,0,0.0,0.0,2020
1,Chad WallachMIA,C,5,5,37,39,39,0,1.0,0,0,9.5,0,1,0,0.0,0.0,2020
1,Omar NarvaezMIL,C,2,1,6,4,4,0,1.0,0,0,6.4,0,0,0,0.0,0.0,2020
1,Jacob NottinghamMIL,C,2,1,9,13,13,0,1.0,0,0,12.5,0,0,0,0.0,0.0,2020
1,Danny JansenTOR,C,2,2,15,22,21,1,1.0,0,1,13.2,0,1,1,0.5,0.0,2020
1,Ryan JeffersMIN,C,2,2,16,13,12,1,1.0,0,0,7.3,0,0,0,0.0,0.0,2020
15,Will SmithLAD,C,12,10,93,119,111,7,0.992,1,2,11.5,1,7,3,0.3,0.0,2020
16,Sean MurphyOAK,C,7,7,62,61,58,2,0.984,1,0,8.7,0,1,1,0.5,0.0,2020
17,Yasmani GrandalCHW,C,2,2,15,14,12,1,0.929,1,0,7.8,0,0,0,0.0,0.0,2020
1,Yadier MolinaSTL,C,1,1,9,8,8,0,1.0,0,0,8.3,0,2,0,0.0,0.0,2021
1,Kyle HigashiokaNYY,C,1,1,7,7,7,0,1.0,0,0,9.0,0,0,0,0.0,0.0,2021
1,Yasmani GrandalCHW,C,4,4,34,43,42,1,1.0,0,0,11.4,0,5,0,0.0,0.0,2021
1,Gary SanchezNYY,C,1,0,1,2,2,0,1.0,0,0,18.0,0,0,0,0.0,0.0,2021
