rank,Youtuber,subscribers_1000s,video_views_1000s,video count,category,started
103,Markiplier,34400.0,19579307.845,5407,Gaming,2012
104,Total Gaming,34400.0,5320916.258,1146,Gaming,2018
105,Vlad và Niki,34200.0,21201307.995,462,,2018
106,Ryan's World,34200.0,53791921.817,2303,Entertainment,2015
107,J Balvin,33900.0,22332373.894,134,Music,2011
108,IndiaTV,33800.0,14870742.429,255945,News & Politics,2006
109,La Granja de Zenón,33800.0,24987313.658,608,Music,2013
110,Geet MP3,33700.0,12261000.364,621,Music,2016
111,T-Series Apna Punjab,33700.0,20147617.622,7217,Music,2011
112,Desi Music Factory,33600.0,9942273.938,130,Music,2014
113,VEGETTA777,33600.0,15210496.499,7359,Gaming,2008
114,PowerKids TV,33300.0,16950396.939,4024,Film & Animation,2014
115,SSSniperWolf,33300.0,22401173.448,3210,Gaming,2013
116,NoCopyrightSounds,33200.0,10881975.217,1216,Music,2011
117,KHANDESHI MOVIES,33100.0,11149175.22,204,Comedy,2013
118,Bollywood Classics,33000.0,20656339.043,1963,Music,2012
119,Ch3Thailand,32600.0,25134671.61,82005,Entertainment,2014
120,Selena Gomez,32400.0,12287391.86,188,Film & Animation,2008
121,Galinha Pintadinha,32400.0,24649071.176,65,Film & Animation,2006
122,Saregama Music,32300.0,13731021.437,6708,Entertainment,2013
123,Rajshri,32000.0,14058487.776,3802,Music,2006
124,Eros Now Music,32000.0,17346964.417,9873,Entertainment,2007
125,CVS 3D Rhymes & Kids Songs,31800.0,19384853.694,338,Education,2008
126,GENIAL,31700.0,6595134.818,6016,Howto & Style,2017
127,JustinBieberVEVO,31700.0,26018049.44,204,Music,2009
128,Mr Bean,31600.0,10265784.916,2868,Shows,2006
129,DisneyMusicVEVO,31600.0,26814087.58,1939,Music,2010
130,rezendeevil,31600.0,12865208.449,11779,Gaming,2012
131,Techno Gamerz,31500.0,8552343.456,900,Gaming,2017
132,Genevieve's Playhouse - Learning Videos for Kids,31500.0,22465271.289,593,Education,2016
133,BabyBus - Kids Songs and Cartoons,31500.0,25468252.089,1974,Education,2016
134,Dream,31400.0,2851853.859,112,Gaming,2014
