x,relu,sigmoid,mish,softplus
-10.0,0.0,4.5397872e-05,-0.00045398902,4.53989e-05
-9.9,0.0,5.0172184e-05,-0.00049671705,5.0173443e-05
-9.8,0.0,5.5448516e-05,-0.00054341054,5.545005e-05
-9.7,0.0,6.127975e-05,-0.00059443177,6.128163e-05
-9.6,0.0,6.7724126e-05,-0.00065017364,6.772642e-05
-9.5,0.0,7.4846226e-05,-0.0007110658,7.484903e-05
-9.4,0.0,8.2717255e-05,-0.0007775743,8.2720675e-05
-9.3,0.0,9.141585e-05,-0.00085020636,9.1420035e-05
-9.2,0.0,0.00010102922,-0.00092951563,0.00010103431
-9.099999,0.0,0.00011165341,-0.0010161026,0.00011165964
-9.0,0.0,0.00012339458,-0.0011106197,0.00012340219
-8.9,0.0,0.00013637038,-0.0012137791,0.00013637968
-8.8,0.0,0.00015071033,-0.0013263508,0.00015072168
-8.7,0.0,0.0001665581,-0.0014491761,0.00016657198
-8.599999,0.0,0.00018407202,-0.0015831649,0.00018408896
-8.5,0.0,0.00020342697,-0.0017293053,0.00020344768
-8.4,0.0,0.00022481686,-0.0018886739,0.00022484214
-8.299999,0.0,0.00024845527,-0.0020624348,0.00024848615
-8.2,0.0,0.0002745782,-0.0022518504,0.00027461592
-8.099999,0.0,0.0003034472,-0.002458295,0.00030349323
-7.9999995,0.0,0.00033535028,-0.002683252,0.00033540654
-7.8999996,0.0,0.00037060629,-0.002928332,0.00037067497
-7.7999997,0.0,0.00040956726,-0.003195279,0.0004096512
-7.7,0.0,0.0004526223,-0.0034859802,0.00045272475
-7.6,0.0,0.0005002012,-0.0038024792,0.0005003263
-7.5,0.0,0.00055277866,-0.0041469852,0.00055293145
-7.4,0.0,0.0006108793,-0.0045218877,0.00061106595
-7.2999997,0.0,0.0006750829,-0.0049297684,0.0006753109
-7.2,0.0,0.00074602896,-0.0053734123,0.00074630737
-7.1,0.0,0.0008244248,-0.0058558285,0.0008247648
-7.0,0.0,0.0009110512,-0.0063802637,0.0009114665
-6.9,0.0,0.0010067708,-0.006950215,0.0010072779
-6.8,0.0,0.0011125358,-0.0075694523,0.0011131552
-6.7000003,0.0,0.0012293983,-0.0082420325,0.0012301547
-6.6000004,0.0,0.0013585194,-0.00897232,0.0013594431
-6.5,0.0,0.0015011822,-0.009765008,0.0015023102
-6.4,0.0,0.0016588009,-0.010625131,0.0016601783
-6.3,0.0,0.0018329385,-0.011558096,0.0018346205
-6.2000003,0.0,0.0020253197,-0.012569699,0.0020273735
-6.1000004,0.0,0.0022378478,-0.0136661455,0.0022403554
-6.0,0.0,0.002472623,-0.014854081,0.0024756852
-5.9,0.0,0.0027319605,-0.016140586,0.002735699
-5.8,0.0,0.0030184158,-0.017533233,0.0030229804
-5.7,0.0,0.003334808,-0.019040098,0.0033403807
-5.6,0.0,0.0036842402,-0.02066975,0.0036910437
-5.5,0.0,0.0040701376,-0.022431312,0.004078443
-5.4,0.0,0.0044962727,-0.024334457,0.0045064115
-5.3,0.0,0.0049668006,-0.026389416,0.004979176
-5.2,0.0,0.0054863,-0.028607016,0.005501405
-5.1,0.0,0.0060598017,-0.030998627,0.006078237
-5.0,0.0,0.006692851,-0.033576235,0.0067153485
