RK,Name,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD,Year
50,Jauan JenningsSF,WR,3,6,9,43,7.2,0,13,0,14.3,0,0,15,4,2021
1,DK MetcalfSEA,WR,1,10,13,136,13.6,2,50,2,136.0,0,0,45,7,2022
2,Deebo SamuelSF,WR,1,6,9,133,22.2,1,74,2,133.0,0,0,111,4,2022
3,T.J. HockensonMIN,TE,1,10,11,129,12.9,0,28,2,129.0,0,0,65,6,2022
4,Stefon DiggsBUF,WR,1,7,9,114,16.3,0,52,2,114.0,0,0,18,4,2022
5,Gabe DavisBUF,WR,1,6,9,113,18.8,1,33,2,113.0,0,0,7,5,2022
6,Gerald EverettLAC,TE,1,6,8,109,18.2,1,25,4,109.0,0,0,75,5,2022
7,Isaiah HodginsNYG,WR,1,8,9,105,13.1,1,32,1,105.0,0,0,35,4,2022
8,Dalton SchultzDAL,TE,1,7,8,95,13.6,2,26,3,95.0,0,0,11,5,2022
9,Evan EngramJAX,TE,1,7,11,93,13.3,1,24,2,93.0,0,0,55,6,2022
10,Darius SlaytonNYG,WR,1,4,8,88,22.0,0,47,2,88.0,0,0,45,4,2022
11,Chris GodwinTB,WR,1,10,13,85,8.5,0,16,0,85.0,0,0,53,5,2022
12,Ja'Marr ChaseCIN,WR,1,9,12,84,9.3,1,19,0,84.0,0,0,25,5,2022
13,Christian KirkJAX,WR,1,8,14,78,9.8,1,17,0,78.0,0,0,26,6,2022
14,Julio JonesTB,WR,1,7,11,74,10.6,1,30,1,74.0,0,0,17,3,2022
14,Mike EvansTB,WR,1,6,11,74,12.3,0,20,1,74.0,0,0,17,4,2022
14,Zay JonesJAX,WR,1,8,13,74,9.3,1,39,1,74.0,0,0,-2,2,2022
17,Mark AndrewsBAL,TE,1,5,10,73,14.6,0,29,2,73.0,0,0,24,3,2022
17,Brandon AiyukSF,WR,1,3,5,73,24.3,0,31,2,73.0,0,0,17,3,2022
19,Tyreek HillMIA,WR,1,7,15,69,9.9,0,19,0,69.0,0,0,35,4,2022
20,CeeDee LambDAL,WR,1,4,6,68,17.0,1,26,2,68.0,0,0,17,3,2022
21,Keenan AllenLAC,WR,1,6,13,61,10.2,0,23,1,61.0,0,0,34,4,2022
22,Cade OttonTB,TE,1,4,7,58,14.5,0,17,0,58.0,0,0,42,4,2022
23,Saquon BarkleyNYG,RB,1,5,6,56,11.2,0,24,1,56.0,0,0,68,4,2022
24,Khalil ShakirBUF,WR,1,3,5,51,17.0,0,31,1,51.0,0,0,1,2,2022
25,Adam ThielenMIN,WR,1,3,4,50,16.7,0,25,1,50.0,0,0,5,3,2022
26,Demarcus RobinsonBAL,WR,1,2,3,49,24.5,1,41,1,49.0,0,0,15,1,2022
27,Justin JeffersonMIN,WR,1,7,9,47,6.7,0,10,0,47.0,0,0,7,3,2022
28,Michael GallupDAL,WR,1,5,6,46,9.2,1,15,0,46.0,0,0,9,4,2022
29,Hayden HurstCIN,TE,1,4,6,45,11.3,0,18,0,45.0,1,1,20,2,2022
29,Salvon AhmedMIA,RB,1,3,5,45,15.0,0,20,1,45.0,0,0,32,2,2022
31,Jaylen WaddleMIA,WR,1,3,7,44,14.7,0,25,1,44.0,0,0,6,1,2022
32,J.K. DobbinsBAL,RB,1,4,5,43,10.8,1,27,1,43.0,0,0,39,3,2022
33,Jauan JenningsSF,WR,1,2,5,41,20.5,0,33,1,41.0,0,0,7,2,2022
34,Tyler LockettSEA,WR,1,6,8,39,6.5,0,10,0,39.0,0,0,6,3,2022
34,Cade JohnsonSEA,WR,1,3,3,39,13.0,0,24,1,39.0,0,0,6,2,2022
36,George KittleSF,TE,1,2,2,37,18.5,0,23,1,37.0,0,0,12,2,2022
