RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL BALL SPEED,TOTAL ATTEMPTS,FASTEST SPEED,SLOWEST SPEED,Year
17,17,Garrick Higgo,62,180.48,58295.2,323,186.36,170.7,2022
18,18,Curtis Thompson,70,180.43,67120.4,372,190.41,154.51,2022
19,19,Kevin Tway,83,180.28,105825.75,587,186.92,153.34,2022
20,20,Kurt Kitayama,74,180.06,74724.55,415,187.41,157.06,2022
21,21,Lucas Herbert,59,180.01,55443.49,308,186.85,164.68,2022
22,22,Joaquin Niemann,84,179.82,92606.08,515,185.96,169.45,2022
23,23,Brooks Koepka,51,179.8,54838.92,305,187.39,170.52,2022
24,24,Vince Whaley,91,179.25,121533.51,678,187.14,166.03,2022
25,25,Martin Trainer,84,179.18,102493.57,572,185.38,166.97,2022
26,26,Tony Finau,89,179.12,112128.43,626,190.36,161.66,2022
27,27,Adam Schenk,94,179.01,122087.73,682,186.61,157.3,2022
28,28,Paul Barjon,75,178.8,95480.58,534,184.64,158.98,2022
29,29,Nick Watney,80,178.55,95164.98,533,184.99,163.22,2022
30,30,Sam Burns,84,178.53,103723.42,581,185.82,161.33,2022
31,31,Max Homa,89,178.32,117513.54,659,187.81,168.83,2022
32,32,Dylan Frittelli,93,178.29,120527.38,676,190.72,158.3,2022
33,33,Cam Davis,86,178.21,112808.51,633,186.11,158.08,2022
34,34,Scottie Scheffler,95,178.19,115825.74,650,185.4,164.48,2022
35,35,Keith Mitchell,91,177.99,118009.97,663,183.5,167.61,2022
36,36,Xander Schauffele,79,177.93,77577.78,436,183.38,161.87,2022
37,37,David Skinns,70,177.86,81992.93,461,184.64,160.34,2022
38,38,Matt Jones,61,177.37,87086.87,491,184.64,166.65,2022
39,39,Jared Wolfe,61,177.16,72635.33,410,187.63,161.17,2022
40,40,Kevin Chappell,63,176.94,73605.88,416,183.9,161.87,2022
41,41,Patrick Rodgers,89,176.84,120426.58,681,183.07,164.28,2022
42,42,Jason Kokrak,64,176.69,60604.61,343,185.29,155.32,2022
43,43,Justin Thomas,79,176.66,89743.58,508,182.71,150.26,2022
44,44,Seth Reeves,71,176.61,86716.8,491,184.3,162.0,2022
45,45,Matt Fitzpatrick,73,176.45,76228.13,432,185.64,146.39,2022
46,46,Maverick McNealy,97,176.44,118213.83,670,182.69,162.98,2022
47,47,Lanto Griffin,78,176.39,108479.95,615,190.05,162.89,2022
T48,T48,Tommy Fleetwood,61,176.25,52874.61,300,181.21,163.57,2022
T48,T48,Hudson Swafford,64,176.25,62216.26,353,183.74,165.24,2022
50,50,Charles Howell III,54,176.24,78956.6,448,184.26,165.4,2022
51,51,Brendan Steele,77,176.14,105859.85,601,182.29,159.78,2022
52,52,Taylor Moore,92,176.06,144191.93,819,182.74,147.38,2022
53,53,Viktor Hovland,77,176.01,84482.73,480,181.84,164.55,2022
54,54,Seamus Power,85,175.81,79993.43,455,182.36,165.71,2022
55,55,Jordan Spieth,77,175.67,96791.62,551,182.42,155.29,2022
56,56,Patrick Cantlay,75,175.64,75700.98,431,180.39,159.0,2022
57,57,Davis Riley,98,175.56,129038.94,735,183.36,165.6,2022
58,58,Corey Conners,94,175.49,124422.4,709,182.78,158.87,2022
59,59,Beau Hossler,72,175.47,102822.6,586,182.36,160.99,2022
60,60,Nick Hardy,67,175.35,70141.81,400,182.76,154.64,2022
61,61,Alex Smalley,95,175.33,118175.6,674,184.17,163.24,2022
62,62,Stewart Cink,77,174.9,85175.77,487,180.54,159.7,2022
63,63,Sahith Theegala,115,174.88,163342.18,934,182.91,151.64,2022
64,64,Tyrrell Hatton,72,174.68,69347.92,397,182.29,155.27,2022
65,65,Michael Gligic,79,174.57,90950.84,521,181.89,158.06,2022
66,66,Scott Stallings,98,174.55,130914.26,750,180.88,147.36,2022
67,67,Rickie Fowler,71,174.47,90550.98,519,183.45,155.8,2022
68,68,Aaron Wise,86,174.3,118526.35,680,180.48,155.98,2022
69,69,Harold Varner III,76,174.22,86064.8,494,182.69,141.72,2022
70,70,Mito Pereira,90,174.18,132554.39,761,180.95,163.12,2022
71,71,Alex Noren,73,174.07,74502.69,428,180.19,164.28,2022
72,72,Marc Leishman,79,173.86,90408.32,520,184.06,161.4,2022
73,73,Robert Streb,87,173.84,119600.03,688,179.54,153.3,2022
74,74,Sebastián Muñoz,86,173.73,122651.59,706,181.28,163.03,2022
75,75,Cameron Smith,66,173.6,71348.49,411,179.67,161.85,2022
76,76,Charley Hoffman,75,173.58,103801.88,598,183.56,152.49,2022
77,77,Danny Lee,54,173.57,60923.36,351,185.22,158.8,2022
78,78,Shane Lowry,65,173.56,65604.56,378,178.15,164.77,2022
79,79,Jim Knous,57,173.46,59668.69,344,182.62,165.65,2022
80,80,Seung-Yul Noh,69,173.39,84612.63,488,180.3,158.0,2022
81,81,Aaron Rai,93,173.37,113555.72,655,179.07,162.42,2022
82,82,Chesson Hadley,86,173.21,93531.43,540,178.51,151.11,2022
83,83,Keegan Bradley,87,173.09,101086.77,584,181.42,150.43,2022
84,84,Erik van Rooyen,51,173.07,46209.25,267,183.85,154.57,2022
85,85,Sungjae Im,95,172.94,119153.3,689,178.58,165.74,2022
86,86,Carlos Ortiz,61,172.91,92158.61,533,178.96,162.58,2022
87,87,Jason Day,61,172.89,82815.36,479,179.51,157.5,2022
88,88,Patton Kizzire,92,172.87,124293.33,719,184.01,162.8,2022
89,89,Branden Grace,56,172.85,63089.24,365,179.56,161.84,2022
90,90,Hideki Matsuyama,72,172.84,82444.21,477,180.16,160.34,2022
91,91,Talor Gooch,78,172.78,66000.07,382,179.4,163.74,2022
92,92,Ryan Palmer,71,172.56,84552.9,490,178.19,162.86,2022
93,93,Matt Wallace,60,172.43,85350.62,495,179.34,159.63,2022
94,94,Hayden Buckley,93,172.42,117592.51,682,178.53,160.0,2022
95,95,Billy Horschel,78,172.38,80844.88,469,179.11,160.55,2022
96,96,Cameron Tringale,99,172.27,105947.3,615,179.22,149.03,2022
97,97,Stephan Jaeger,93,172.03,117668.26,684,179.54,159.4,2022
98,98,Wesley Bryan,53,171.92,54326.44,316,178.46,153.47,2022
99,99,Dawie van der Walt,66,171.8,83836.07,488,180.5,157.37,2022
100,100,Matthew NeSmith,96,171.73,108017.76,629,179.29,148.29,2022
101,101,Emiliano Grillo,86,171.72,106981.46,623,177.28,159.76,2022
102,102,K.H. Lee,98,171.58,125942.22,734,180.86,158.26,2022
103,103,Doc Redman,85,171.56,100362.07,585,177.47,153.97,2022
104,104,Harry Higgs,86,171.46,111275.96,649,178.96,152.69,2022
105,105,Scott Gutschewski,62,171.4,60677.26,354,177.97,154.64,2022
106,106,Brandon Wu,78,171.16,77534.1,453,182.94,160.37,2022
107,107,Sepp Straka,103,171.14,109532.59,640,178.91,144.28,2022
108,108,Martin Laird,72,171.13,103360.89,604,176.63,162.99,2022
109,109,Andrew Novak,78,171.02,87564.72,512,180.86,163.01,2022
110,110,Tom Hoge,101,170.99,119864.13,701,178.42,159.23,2022
111,111,Danny Willett,66,170.96,64963.69,380,176.74,161.15,2022
112,112,Roger Sloan,75,170.95,99320.9,581,177.23,151.87,2022
113,113,Austin Smotherman,83,170.89,103899.27,608,175.87,161.06,2022
114,114,Bill Haas,98,170.75,104669.72,613,177.46,151.73,2022
115,115,Brett Drewitt,62,170.62,66028.4,387,183.81,160.55,2022
T116,T116,Lee Hodges,95,170.6,138360.49,811,178.28,155.13,2022
T116,T116,Justin Rose,61,170.6,54420.48,319,175.9,163.1,2022
118,118,Mackenzie Hughes,85,170.49,104000.5,610,177.01,159.27,2022
119,119,Matthias Schwab,76,170.48,86772.78,509,175.62,162.45,2022
120,120,Kramer Hickok,91,170.45,118975.82,698,178.11,141.8,2022
121,121,Collin Morikawa,68,170.33,58083.72,341,175.11,158.47,2022
122,122,Dylan Wu,73,170.29,79696.91,468,175.38,145.85,2022
123,123,Peter Malnati,103,170.27,160391.63,942,177.86,160.19,2022
124,124,Webb Simpson,62,170.24,63327.45,372,179.2,153.63,2022
125,125,Sam Ryder,92,170.19,126962.57,746,176.67,161.69,2022
126,126,James Hahn,79,170.06,96935.99,570,179.18,155.69,2022
127,127,J.T. Poston,90,169.99,126815.2,746,175.69,151.55,2022
128,128,Camilo Villegas,75,169.98,76663.04,451,175.0,154.13,2022
T129,T129,Pat Perez,62,169.66,80758.39,476,177.08,159.2,2022
T129,T129,Scott Piercy,85,169.66,111296.32,656,176.43,155.15,2022
131,131,Anirban Lahiri,72,169.63,106191.46,626,187.51,160.75,2022
132,132,Adam Hadwin,92,169.55,115461.13,681,176.79,156.41,2022
133,133,Patrick Reed,73,169.54,77312.47,456,183.65,158.31,2022
134,134,Ben Kohles,69,169.53,70695.08,417,177.9,158.64,2022
135,135,Henrik Norlander,78,169.43,86411.36,510,177.05,159.18,2022
136,136,Bo Hoag,55,169.35,55884.54,330,184.66,149.45,2022
137,137,Nick Taylor,88,169.15,110623.74,654,174.55,153.96,2022
138,138,Doug Ghim,90,169.11,110091.27,651,176.88,150.86,2022
139,139,Lucas Glover,95,169.04,114609.68,678,174.88,144.04,2022
140,140,Adam Svensson,102,168.92,134118.83,794,175.53,151.6,2022
141,141,Richy Werenski,69,168.68,77593.06,460,174.97,159.49,2022
142,142,Si Woo Kim,101,168.5,136989.71,813,176.03,156.97,2022
143,143,Kiradech Aphibarnrat,59,168.44,65019.66,386,173.7,159.36,2022
144,144,Jim Herman,53,168.43,60802.21,361,179.31,157.7,2022
145,145,Russell Henley,81,168.39,98170.81,583,180.14,157.1,2022
146,146,Francesco Molinari,53,168.28,64957.7,386,174.39,149.18,2022
147,147,Mark Hubbard,76,168.23,90172.13,536,173.56,159.34,2022
148,148,Denny McCarthy,102,168.17,111496.73,663,175.06,142.49,2022
149,149,Chris Kirk,88,168.14,102231.58,608,174.79,157.12,2022
150,150,Hank Lebioda,86,167.92,111667.21,665,176.52,158.06,2022
151,151,Jason Dufner,56,167.81,64941.39,387,174.26,151.7,2022
152,152,Sung Kang,86,167.75,95617.33,570,177.99,151.39,2022
153,153,Greyson Sigg,96,167.68,121568.38,725,175.67,156.98,2022
154,154,Jonas Blixt,52,167.61,67714.78,404,173.52,158.51,2022
155,155,Tyler Duncan,86,167.46,104330.21,623,174.46,149.11,2022
156,156,Russell Knox,93,167.45,121069.33,723,177.79,157.73,2022
157,157,C.T. Pan,82,167.41,114676.33,685,173.5,148.64,2022
158,158,J.J. Spaun,95,167.18,117191.86,701,181.01,153.54,2022
159,159,Justin Lower,80,167.11,85893.91,514,178.69,152.98,2022
160,160,Troy Merritt,93,167.01,122588.87,734,172.2,151.49,2022
161,161,Kevin Streelman,88,166.93,132538.61,794,176.36,151.78,2022
162,162,Brice Garnett,83,166.89,99799.09,598,180.3,154.66,2022
163,163,Nate Lashley,76,166.8,102747.02,616,172.29,146.85,2022
T164,T164,Jonathan Byrd,61,166.68,67840.02,407,173.77,153.86,2022
T164,T164,Andrew Putnam,96,166.68,122342.21,734,173.54,158.15,2022
166,166,Chase Seiffert,59,166.61,58481.55,351,173.05,151.93,2022
167,167,Cameron Percy,50,166.59,51808.87,311,173.7,154.14,2022
168,168,Abraham Ancer,63,166.46,73409.31,441,173.52,157.23,2022
169,169,Chad Ramey,79,166.44,87712.6,527,178.77,157.86,2022
170,170,Adam Long,90,166.35,123432.02,742,172.92,154.21,2022
171,171,Ian Poulter,51,166.34,53894.08,324,185.49,158.53,2022
172,172,Christiaan Bezuidenhout,87,166.04,85177.72,513,171.48,153.19,2022
173,173,Max McGreevy,76,165.98,88133.48,531,174.88,155.71,2022
174,174,David Lipsky,92,165.88,120924.77,729,178.88,149.38,2022
175,175,Joel Dahmen,89,165.59,114922.81,694,179.69,154.89,2022
176,176,Luke Donald,67,165.37,68626.61,415,171.66,156.45,2022
177,177,Kelly Kraft,75,165.23,92696.29,561,172.56,155.49,2022
178,178,Brian Harman,94,164.94,125350.6,760,170.77,147.39,2022
179,179,Brandt Snedeker,61,164.77,83210.83,505,170.79,144.8,2022
180,180,Austin Cook,75,164.75,88802.9,539,171.8,156.0,2022
181,181,Rory Sabbatini,55,164.42,88458.31,538,171.84,154.51,2022
182,182,Kevin Kisner,77,164.31,80838.4,492,177.43,151.26,2022
183,183,John Huh,80,164.25,101179.17,616,172.6,152.34,2022
184,184,Michael Thompson,88,163.03,119989.58,736,178.87,151.82,2022
185,185,Matt Kuchar,71,162.44,96004.42,591,175.7,153.57,2022
186,186,Zach Johnson,64,161.35,89547.33,555,166.85,152.25,2022
187,187,Joshua Creel,53,160.85,66592.25,414,167.99,146.59,2022
188,188,Satoshi Kodaira,51,160.74,58507.82,364,166.83,149.09,2022
189,189,Vaughn Taylor,57,159.85,61223.57,383,177.52,153.72,2022
190,190,Ryan Armour,56,159.81,55295.41,346,164.97,151.33,2022
191,191,Chez Reavie,91,159.39,127189.98,798,181.48,146.45,2022
192,192,Brian Stuard,95,158.01,106499.24,674,163.19,145.69,2022
193,193,Brendon Todd,87,157.85,105446.36,668,171.1,147.37,2022
