RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE,Year
1,1,Steve Stricker,73,424,SBS Championshi,2,7,656,2010
2,2,Bubba Watson,77,416,Sony Open,1,8,6,2010
3,3,Boo Weekley,88,415,WGC-Bridgestone,4,16,36,2010
4,4,Dustin Johnson,83,414,SBS Championshi,3,7,656,2010
5,5,Paul Casey,64,412,WGC-Bridgestone,4,16,36,2010
T7,T7,Lucas Glover,75,406,SBS Championshi,3,18,656,2010
T7,T7,Nick Watney,91,406,SBS Championshi,1,17,656,2010
T9,T9,Ángel Cabrera,64,405,SBS Championshi,2,12,656,2010
T9,T9,D.J. Trahan,92,405,The Greenbrier,1,6,771,2010
T11,T11,John Daly,63,404,Sony Open,1,8,6,2010
T11,T11,Robert Garrigus,71,404,Reno-Tahoe Open,4,17,660,2010
T11,T11,Jeff Overton,89,404,WGC-Bridgestone,4,16,36,2010
14,14,Ryan Palmer,84,402,WGC-Bridgestone,4,16,36,2010
T17,T17,Stephen Ames,75,399,SBS Championshi,3,7,656,2010
T17,T17,J.B. Holmes,100,399,HP Byron Nelson,4,3,19,2010
T17,T17,Troy Matteson,84,399,SBS Championshi,4,6,656,2010
T17,T17,Bo Van Pelt,104,399,SBS Championshi,3,7,656,2010
T23,T23,Geoff Ogilvy,62,398,SBS Championshi,3,7,656,2010
T26,T26,Peter Hanson,25,397,WGC-Bridgestone,4,16,36,2010
T26,T26,Sean O'Hair,84,397,SBS Championshi,3,7,656,2010
T29,T29,John Rollins,81,396,SBS Championshi,2,17,656,2010
T32,T32,Ernie Els,72,395,WGC-Bridgestone,4,8,36,2010
T32,T32,Retief Goosen,75,395,SBS Championshi,3,7,656,2010
T32,T32,Zach Johnson,93,395,SBS Championshi,2,17,656,2010
T32,T32,Kenny Perry,69,395,SBS Championshi,3,7,656,2010
T32,T32,Rory Sabbatini,79,395,SBS Championshi,3,18,656,2010
T45,T45,Ryan Moore,80,393,SBS Championshi,2,7,656,2010
T45,T45,Pat Perez,90,393,SBS Championshi,2,12,656,2010
T45,T45,Y.E. Yang,72,393,SBS Championshi,4,7,656,2010
T60,T60,Martin Laird,91,391,SBS Championshi,3,18,656,2010
T64,T64,Sergio Garcia,58,390,WGC-Bridgestone,4,16,36,2010
T67,T67,Padraig Harrington,57,389,WGC-Bridgestone,4,16,36,2010
T67,T67,Louis Oosthuizen,14,389,WGC-Bridgestone,4,8,36,2010
T75,T75,Stewart Cink,84,387,SBS Championshi,3,18,656,2010
T75,T75,Ross Fisher,29,387,WGC-Bridgestone,4,16,36,2010
T75,T75,Mark Wilson,87,387,SBS Championshi,1,7,656,2010
T82,T82,Mike Heinen,2,386,Reno-Tahoe Open,2,17,660,2010
T88,T88,Daniel Miernicki,2,385,Reno-Tahoe Open,1,9,660,2010
T91,T91,Jason Day,82,384,PGA Championshi,2,11,706,2010
T91,T91,Derek Lamely,81,384,The Greenbrier,3,6,771,2010
T91,T91,Kevin Streelman,90,384,Zurich Classic,4,7,714,2010
T91,T91,Charles Warren,64,384,Reno-Tahoe Open,4,5,660,2010
T97,T97,Robert Karlsson,40,383,WGC-Bridgestone,4,16,36,2010
T97,T97,Matt Kuchar,97,383,SBS Championshi,2,7,656,2010
T104,T104,Graham DeLaet,88,382,Reno-Tahoe Open,2,18,660,2010
T104,T104,Adam Scott,70,382,WGC-Bridgestone,4,9,36,2010
T111,T111,Matt Bettencourt,91,381,Reno-Tahoe Open,4,17,660,2010
T115,T115,Harrison Frazar,44,380,Texas Open,3,4,770,2010
T115,T115,Alvaro Quiros,27,380,Phoenix Open,3,13,510,2010
T115,T115,Jimmy Walker,82,380,HP Byron Nelson,3,10,19,2010
T125,T125,Michael Bradley,77,379,SBS Championshi,1,18,656,2010
T125,T125,Ted Purdy,86,379,Transitions Chp,2,10,665,2010
T135,T135,Heath Slocum,97,378,SBS Championshi,2,12,656,2010
T147,T147,Mathias Grönberg,61,377,Reno-Tahoe Open,1,14,660,2010
T147,T147,Brandt Jobe,4,377,HP Byron Nelson,4,1,19,2010
T147,T147,Phil Mickelson,76,377,WGC-CA Champ,1,14,8,2010
T153,T153,Jonathan Byrd,85,376,Turning Stone,2,18,730,2010
T166,T166,Jerry Kelly,99,375,SBS Championshi,4,18,656,2010
T166,T166,Hunter Mahan,85,375,WGC-Bridgestone,4,16,36,2010
T166,T166,George McNeill,79,375,Sony Open,2,18,6,2010
T166,T166,Scott Piercy,88,375,Honda Classic,2,10,734,2010
T166,T166,Webb Simpson,98,375,Canadian Open,1,14,772,2010
T181,T181,Marc Leishman,87,374,Honda Classic,4,10,734,2010
T181,T181,Jarrod Lyle,54,374,Travelers Champ,2,1,503,2010
T189,T189,Brian Gay,101,373,SBS Championshi,1,7,656,2010
T189,T189,Miguel Angel Jiménez,21,373,WGC-Bridgestone,4,16,36,2010
T189,T189,Davis Love III,79,373,John Deere Clas,2,4,669,2010
T189,T189,Camilo Villegas,78,373,The Open,3,2,668,2010
T202,T202,Steve Lowery,67,372,Turning Stone,2,18,730,2010
T202,T202,Scott Verplank,74,372,Phoenix Open,3,15,510,2010
T202,T202,Gary Woodland,22,372,Turning Stone,2,18,730,2010
T218,T218,Steve Allan,6,371,Reno-Tahoe Open,4,17,660,2010
T218,T218,Daniel Chopra,74,371,Canadian Open,1,14,772,2010
T218,T218,David Lutterus,69,371,Reno-Tahoe Open,4,9,660,2010
T218,T218,Roger Tambellini,77,371,Reno-Tahoe Open,4,5,660,2010
T233,T233,Kris Blanks,91,370,Reno-Tahoe Open,4,9,660,2010
T233,T233,Kevin Stadler,86,370,Reno-Tahoe Open,4,18,660,2010
T233,T233,Josh Teater,101,370,Reno-Tahoe Open,4,17,660,2010
T250,T250,Stuart Appleby,101,369,Reno-Tahoe Open,4,17,660,2010
T250,T250,Robert Gamez,18,369,Reno-Tahoe Open,1,10,660,2010
T250,T250,J.J. Henry,92,369,Reno-Tahoe Open,4,17,660,2010
T250,T250,Charl Schwartzel,39,369,WGC-CA Champ,1,1,8,2010
T265,T265,Marco Dawson,30,368,Reno-Tahoe Open,2,17,660,2010
T265,T265,Rickie Fowler,98,368,WGC-Bridgestone,4,8,36,2010
T265,T265,Nathan Green,86,368,SBS Championshi,2,1,656,2010
T265,T265,Kent Jones,28,368,Reno-Tahoe Open,4,17,660,2010
T265,T265,Cameron Percy,73,368,Turning Stone,2,18,730,2010
T265,T265,Chris Smith,22,368,Reno-Tahoe Open,2,5,660,2010
T287,T287,Alex Prugh,88,367,Reno-Tahoe Open,2,18,660,2010
T301,T301,Mark Calcavecchia,50,366,The Open,2,1,668,2010
T301,T301,Martin Kaymer,32,366,WGC-Bridgestone,4,8,36,2010
T301,T301,Lucas Lee,2,366,Canadian Open,1,17,772,2010
T301,T301,Rory McIlroy,54,366,The Open,3,2,668,2010
T301,T301,John Merrick,109,366,Reno-Tahoe Open,1,9,660,2010
T301,T301,Lee Westwood,40,366,Quail Hollow,4,15,698,2010
T301,T301,Tiger Woods,45,366,AT&T National,4,9,773,2010
T329,T329,Chad Campbell,94,365,Reno-Tahoe Open,2,17,660,2010
T329,T329,Matt Every,60,365,Reno-Tahoe Open,2,10,660,2010
T329,T329,Martin Flores,75,365,Reno-Tahoe Open,4,17,660,2010
T329,T329,"Jim Gallagher, Jr.",7,365,Reno-Tahoe Open,2,17,660,2010
T329,T329,Russell Henley,4,365,U.S. Open Champ,3,1,666,2010
T329,T329,Hugo León,2,365,U.S. Open Champ,2,1,666,2010
T329,T329,Ross McGowan,20,365,WGC-Bridgestone,4,16,36,2010
T329,T329,Brenden Pappas,66,365,Wyndham Champ.,2,18,752,2010
T350,T350,Rich Barcelo,70,364,John Deere Clas,1,4,669,2010
T350,T350,Craig Barlow,35,364,Reno-Tahoe Open,4,9,660,2010
T350,T350,Bob Estes,79,364,Turning Stone,2,18,730,2010
T350,T350,Bill Lunde,79,364,Reno-Tahoe Open,2,18,660,2010
T350,T350,Jason Schultz,4,364,HP Byron Nelson,2,7,19,2010
T350,T350,Brett Wetterich,54,364,HP Byron Nelson,4,3,19,2010
T369,T369,Woody Austin,93,363,Reno-Tahoe Open,1,9,660,2010
T369,T369,Charley Hoffman,85,363,Quail Hollow,4,15,698,2010
T369,T369,Jason Schmuhl,4,363,Frys.com Open,2,2,775,2010
T401,T401,Trevor Fisher Jr,2,362,HP Byron Nelson,1,7,19,2010
T401,T401,Shane Lowry,6,362,The Open,3,2,668,2010
T401,T401,Brian Stuard,81,362,Quail Hollow,4,12,698,2010
T401,T401,Matt Weibring,28,362,Reno-Tahoe Open,2,9,660,2010
T401,T401,Chris Wilson,65,362,Sony Open,1,8,6,2010
T431,T431,Mathew Goggin,85,361,Phoenix Open,3,13,510,2010
T431,T431,Anthony Kim,45,361,Phoenix Open,3,13,510,2010
T431,T431,Will MacKenzie,72,361,Reno-Tahoe Open,3,10,660,2010
T431,T431,John Mallinger,78,361,Reno-Tahoe Open,3,10,660,2010
T431,T431,Garth Mulroy,53,361,HP Byron Nelson,4,9,19,2010
T431,T431,Greg Owen,69,361,Zurich Classic,4,7,714,2010
T466,T466,Christopher Brown,2,360,HP Byron Nelson,2,7,19,2010
T466,T466,Rob Grube,4,360,Canadian Open,1,14,772,2010
T466,T466,Seungsu Han,4,360,Reno-Tahoe Open,1,17,660,2010
T466,T466,Rod Pampling,77,360,Turning Stone,2,18,730,2010
T466,T466,Tag Ridings,4,360,Shell Houston,4,18,729,2010
T466,T466,Andres Romero,73,360,HP Byron Nelson,1,7,19,2010
T466,T466,Mike Small,22,360,Reno-Tahoe Open,4,9,660,2010
T466,T466,Chris Stroud,90,360,Viking Classic,4,7,609,2010
T503,T503,Blake Adams,84,359,Phoenix Open,1,17,510,2010
T503,T503,Cameron Beckman,68,359,Sony Open,1,8,6,2010
T503,T503,Michael Connell,89,359,Frys.com Open,1,2,775,2010
T503,T503,Bobby Gates,6,359,U.S. Open Champ,4,1,666,2010
T503,T503,Adam Hadwin,4,359,Canadian Open,1,5,772,2010
T503,T503,Chris Tidland,77,359,Sony Open,4,16,6,2010
T534,T534,Aaron Baddeley,94,358,Texas Open,1,5,770,2010
T534,T534,John Chin,2,358,Reno-Tahoe Open,1,15,660,2010
T534,T534,Chris Couch,66,358,John Deere Clas,2,4,669,2010
T534,T534,Carlos Franco,29,358,Reno-Tahoe Open,1,9,660,2010
T534,T534,Tim Herron,79,358,HP Byron Nelson,1,7,19,2010
T534,T534,Charles Howell III,103,358,Canadian Open,2,5,772,2010
T534,T534,Lee Janzen,77,358,HP Byron Nelson,2,7,19,2010
T534,T534,Shiv Kapur,2,358,Reno-Tahoe Open,1,17,660,2010
T534,T534,Jonathan Kaye,17,358,Reno-Tahoe Open,4,17,660,2010
T534,T534,Graeme McDowell,31,358,WGC-CA Champ,1,12,8,2010
T534,T534,Troy Merritt,86,358,Canadian Open,2,5,772,2010
T534,T534,Henrik Stenson,45,358,Frys.com Open,3,18,775,2010
T534,T534,Nicholas Thompson,88,358,Reno-Tahoe Open,2,10,660,2010
T534,T534,Cameron Tringale,55,358,HP Byron Nelson,2,7,19,2010
T589,T589,Robert Allenby,76,357,WGC-CA Champ,2,12,8,2010
T589,T589,Bob Heintz,12,357,Reno-Tahoe Open,3,10,660,2010
T589,T589,Ryo Ishikawa,32,357,WGC-Bridgestone,4,16,36,2010
T589,T589,John Senden,103,357,Wyndham Champ.,2,18,752,2010
T637,T637,Thomas Aiken,4,356,The Open,3,2,668,2010
T637,T637,Arjun Atwal,47,356,AT&T National,2,10,773,2010
T637,T637,Tim Clark,88,356,Frys.com Open,2,8,775,2010
T637,T637,Jeff Gove,57,356,The Greenbrier,1,1,771,2010
T637,T637,Bill Haas,87,356,Viking Classic,3,7,609,2010
T637,T637,Mark Hensby,39,356,Reno-Tahoe Open,4,17,660,2010
T637,T637,Alistair Presnell,4,356,WGC-CA Champ,1,12,8,2010
T637,T637,Aron Price,70,356,Reno-Tahoe Open,1,9,660,2010
T637,T637,Jeev Milkha Singh,59,356,The Greenbrier,2,12,771,2010
T637,T637,Vance Veazey,58,356,Reno-Tahoe Open,1,9,660,2010
T686,T686,Cam Burke,2,355,Canadian Open,1,17,772,2010
T686,T686,Michael Clark II,16,355,St. Jude,2,3,513,2010
T686,T686,Benjamin Fox,10,355,Reno-Tahoe Open,4,9,660,2010
T686,T686,Jason Gore,29,355,Wyndham Champ.,2,18,752,2010
T686,T686,Jim Herman,4,355,U.S. Open Champ,2,1,666,2010
T686,T686,John Huston,31,355,Texas Open,1,5,770,2010
T686,T686,Ian Poulter,55,355,WGC-CA Champ,1,12,8,2010
T751,T751,Chris Baryla,19,354,Sony Open,1,13,6,2010
T751,T751,Alex Cejka,81,354,Reno-Tahoe Open,2,10,660,2010
T751,T751,Billy Mayfair,78,354,Reno-Tahoe Open,2,10,660,2010
T751,T751,James Nitties,92,354,Canadian Open,1,5,772,2010
T751,T751,Ryuichi Oda,6,354,Sony Open,3,18,6,2010
T751,T751,Vijay Singh,75,354,Travelers Champ,4,18,503,2010
T751,T751,Paul Stankowski,62,354,HP Byron Nelson,3,3,19,2010
T751,T751,Johnson Wagner,85,354,Reno-Tahoe Open,4,5,660,2010
T814,T814,Jason Bohn,84,353,WGC-Bridgestone,4,16,36,2010
T814,T814,Andrew Coltart,4,353,The Open,3,2,668,2010
T814,T814,James Driscoll,78,353,Canadian Open,1,14,772,2010
T814,T814,David Duval,71,353,Turning Stone,4,14,730,2010
T814,T814,Yuta Ikeda,32,353,WGC-CA Champ,1,1,8,2010
T814,T814,Skip Kendall,58,353,Reno-Tahoe Open,1,10,660,2010
T814,T814,D.A. Points,90,353,The Greenbrier,4,12,771,2010
T814,T814,Brett Quigley,96,353,Turning Stone,2,9,730,2010
T814,T814,Kevin Sutherland,86,353,Canadian Open,4,14,772,2010
T872,T872,Ben Curtis,78,352,WGC-Bridgestone,4,16,36,2010
T872,T872,Brendon de Jonge,114,352,Turning Stone,2,9,730,2010
T872,T872,Luke Donald,71,352,WGC-Bridgestone,4,16,36,2010
T872,T872,Steve Elkington,74,352,Reno-Tahoe Open,4,10,660,2010
T872,T872,Steve Flesch,78,352,Reno-Tahoe Open,2,10,660,2010
T872,T872,Trevor Immelman,55,352,PGA Championshi,2,11,706,2010
T872,T872,Thongchai Jaidee,23,352,WGC-CA Champ,1,12,8,2010
T872,T872,Matt Jones,89,352,HP Byron Nelson,2,1,19,2010
T872,T872,Spencer Levin,110,352,Reno-Tahoe Open,1,10,660,2010
T872,T872,Ben Martin,4,352,U.S. Open Champ,2,1,666,2010
T872,T872,Steve Wheatcroft,74,352,Reno-Tahoe Open,4,10,660,2010
T872,T872,Oliver Wilson,28,352,WGC-CA Champ,1,12,8,2010
T872,T872,Eugene Wong,2,352,Canadian Open,1,14,772,2010
T942,T942,Byeong Hun An,18,351,AT&T National,1,3,773,2010
T942,T942,Chris DiMarco,88,351,Reno-Tahoe Open,3,10,660,2010
T942,T942,Erick Justesen,6,351,U.S. Open Champ,3,1,666,2010
T942,T942,Michael Letzig,84,351,John Deere Clas,2,4,669,2010
T942,T942,Scott McCarron,90,351,Reno-Tahoe Open,4,9,660,2010
T942,T942,Parker McLachlin,45,351,Sony Open,1,6,6,2010
1,1,Dustin Johnson,72,463,Deutsche Bank,4,7,700,2011
2,2,Derek Lamely,65,419,The Greenbrier,2,7,771,2011
T3,T3,J.B. Holmes,57,415,Texas Open,2,10,770,2011
T3,T3,Bubba Watson,85,415,WGC-Bridgestone,3,16,36,2011
5,5,Gary Woodland,93,409,HP Byron Nelson,3,1,19,2011
6,6,Chris Couch,73,408,Arnold Palmer,1,5,9,2011
7,7,Jason Schmuhl,5,405,Reno-Tahoe Open,1,18,660,2011
8,8,Steve Flesch,88,404,The Greenbrier,3,7,771,2011
9,9,James Driscoll,71,399,Reno-Tahoe Open,1,5,660,2011
10,10,Chris Tidland,30,395,Reno-Tahoe Open,1,18,660,2011
11,11,Robert Garrigus,83,394,Hyundai T of C,2,18,656,2011
12,12,Scott Smith,2,393,Reno-Tahoe Open,1,18,660,2011
T13,T13,Alvaro Quiros,25,391,WGC-Bridgestone,4,16,36,2011
T13,T13,Josh Teater,104,391,Reno-Tahoe Open,4,8,660,2011
T13,T13,D.J. Trahan,91,391,Arnold Palmer,2,5,9,2011
T16,T16,Zack Miller,86,390,Memorial Tourn,3,17,23,2011
T16,T16,Kyle Stanley,98,390,John Deere Clas,4,10,669,2011
T18,T18,Ángel Cabrera,50,389,Memorial Tourn,3,17,23,2011
T18,T18,David Hearn,88,389,Reno-Tahoe Open,1,18,660,2011
T20,T20,Justin Leonard,82,388,Texas Open,2,10,770,2011
T20,T20,Ryan Palmer,82,388,Shell Houston,2,17,729,2011
T22,T22,Jason Day,76,387,Hyundai T of C,1,17,656,2011
T22,T22,Scott Piercy,78,387,Reno-Tahoe Open,4,18,660,2011
T22,T22,Scott Stallings,84,387,WGC-Bridgestone,3,16,36,2011
T25,T25,Scott Gordon,43,386,HP Byron Nelson,3,1,19,2011
T25,T25,Charley Hoffman,93,386,HP Byron Nelson,2,1,19,2011
T25,T25,Phil Mickelson,79,386,Memorial Tourn,3,18,23,2011
T28,T28,Michael Letzig,33,385,Shell Houston,2,8,729,2011
T28,T28,Jeff Overton,92,385,Honda Classic,3,4,734,2011
T30,T30,Michael Putnam,67,383,Texas Open,2,17,770,2011
T30,T30,Vijay Singh,79,383,HP Byron Nelson,4,3,19,2011
T32,T32,Stuart Appleby,65,382,Hyundai T of C,2,12,656,2011
T32,T32,Michael Thompson,79,382,Viking Classic,2,14,609,2011
T34,T34,Harrison Frazar,58,381,Shell Houston,2,8,729,2011
T34,T34,Colt Knost,80,381,Reno-Tahoe Open,1,1,660,2011
T36,T36,Steven Bowditch,86,380,HP Byron Nelson,3,3,19,2011
T36,T36,Sean O'Hair,71,380,WGC-Bridgestone,1,3,36,2011
T36,T36,Sam Smith,2,380,HP Byron Nelson,2,3,19,2011
T36,T36,Bo Van Pelt,92,380,The Open,1,2,778,2011
T40,T40,Kenny Perry,36,379,Phoenix Open,1,8,510,2011
T40,T40,Peter Tomasulo,36,379,Reno-Tahoe Open,3,8,660,2011
T40,T40,Cameron Tringale,110,379,Texas Open,4,15,770,2011
T43,T43,Matt Jones,71,378,Texas Open,2,17,770,2011
T43,T43,Chris Kirk,87,378,Texas Open,2,17,770,2011
T43,T43,Hunter Mahan,92,378,Hyundai T of C,2,7,656,2011
T43,T43,Michael Sim,45,378,Texas Open,2,17,770,2011
T43,T43,Lee Westwood,36,378,WGC-Bridgestone,3,16,36,2011
T48,T48,Keegan Bradley,91,377,Texas Open,2,10,770,2011
T48,T48,Rickie Fowler,84,377,The Open,1,2,778,2011
T48,T48,Peter Hanson,35,377,The Open,2,1,778,2011
T48,T48,Pat Perez,76,377,Reno-Tahoe Open,3,18,660,2011
T48,T48,Adam Scott,60,377,Texas Open,4,18,770,2011
T48,T48,Brendan Steele,89,377,Texas Open,2,10,770,2011
T48,T48,Will Strickler,51,377,Viking Classic,4,14,609,2011
T55,T55,Scott Gutschewski,67,376,Texas Open,2,17,770,2011
T55,T55,Bill Haas,93,376,Hyundai T of C,4,6,656,2011
T57,T57,David Duval,67,375,AT&T Pebble,2,10,445,2011
T57,T57,Tommy Gainey,104,375,HP Byron Nelson,3,3,19,2011
T57,T57,Sergio Garcia,61,375,HP Byron Nelson,2,1,19,2011
T57,T57,Brandt Jobe,100,375,HP Byron Nelson,4,1,19,2011
T57,T57,Graeme McDowell,50,375,Hyundai T of C,4,6,656,2011
T57,T57,Jesper Parnevik,26,375,Texas Open,2,17,770,2011
T57,T57,Alex Prugh,82,375,Reno-Tahoe Open,3,8,660,2011
T57,T57,Justin Rose,79,375,Hyundai T of C,2,7,656,2011
T57,T57,Chris Stroud,88,375,Texas Open,2,17,770,2011
T66,T66,Michael Bradley,74,374,HP Byron Nelson,3,12,19,2011
T66,T66,Bobby Gates,82,374,Texas Open,2,10,770,2011
T66,T66,Troy Matteson,91,374,Texas Open,1,18,770,2011
T66,T66,Rory McIlroy,36,374,Honda Classic,3,10,734,2011
T66,T66,Charl Schwartzel,58,374,Memorial Tourn,3,17,23,2011
T66,T66,Brett Wetterich,28,374,HP Byron Nelson,3,1,19,2011
T72,T72,Arjun Atwal,91,373,Hyundai T of C,4,6,656,2011
T72,T72,Todd Hamilton,32,373,HP Byron Nelson,2,1,19,2011
T72,T72,Seung-Yul Noh,19,373,The Open,4,1,778,2011
T72,T72,Tim Petrovic,88,373,Texas Open,2,10,770,2011
T72,T72,Carl Pettersson,95,373,HP Byron Nelson,4,3,19,2011
T72,T72,Ted Purdy,14,373,Texas Open,2,10,770,2011
T72,T72,Kevin Stadler,88,373,Memorial Tourn,3,2,23,2011
T72,T72,Charles Warren,29,373,John Deere Clas,4,10,669,2011
T72,T72,Boo Weekley,66,373,Reno-Tahoe Open,2,14,660,2011
T81,T81,Blake Adams,116,372,HP Byron Nelson,2,1,19,2011
T81,T81,Joseph Bramlett,73,372,Reno-Tahoe Open,2,18,660,2011
T81,T81,Robert Karlsson,61,372,The Barclays,3,2,444,2011
T81,T81,Martin Laird,77,372,The Open,1,2,778,2011
T81,T81,Louis Oosthuizen,46,372,WGC-Bridgestone,3,8,36,2011
T81,T81,Tag Ridings,87,372,Texas Open,2,10,770,2011
T87,T87,K.J. Choi,77,371,WGC-Bridgestone,3,8,36,2011
T87,T87,Anthony Kim,72,371,Hyundai T of C,4,6,656,2011
T87,T87,Bob May,6,371,Reno-Tahoe Open,4,1,660,2011
T87,T87,John Rollins,85,371,HP Byron Nelson,3,3,19,2011
T91,T91,John Daly,49,370,Wyndham Champ.,2,18,752,2011
T91,T91,Jhonattan Vegas,84,370,John Deere Clas,1,2,669,2011
T93,T93,Robert Allenby,84,369,HP Byron Nelson,2,1,19,2011
T93,T93,Woody Austin,59,369,Texas Open,1,18,770,2011
T93,T93,Jim Herman,69,369,Reno-Tahoe Open,1,8,660,2011
T93,T93,Freddie Jacobson,92,369,HP Byron Nelson,4,3,19,2011
T93,T93,Vaughn Taylor,89,369,Wyndham Champ.,1,18,752,2011
T98,T98,Michael Arnaud,2,368,Texas Open,2,10,770,2011
T98,T98,Scott Jamieson,2,368,The Open,1,2,778,2011
T98,T98,Matt Kuchar,94,368,Hyundai T of C,4,6,656,2011
T98,T98,Shaun Micheel,77,368,Wyndham Champ.,1,18,752,2011
T102,T102,Matt Bettencourt,84,367,HP Byron Nelson,2,1,19,2011
T102,T102,Hunter Haas,96,367,Reno-Tahoe Open,4,8,660,2011
T102,T102,Jim Renner,65,367,Reno-Tahoe Open,4,8,660,2011
T102,T102,Nick Watney,80,367,HP Byron Nelson,3,12,19,2011
T106,T106,Stephen Ames,69,366,Reno-Tahoe Open,1,18,660,2011
T106,T106,Jason Bohn,74,366,Hyundai T of C,1,1,656,2011
T106,T106,Jeff Klauk,20,366,Texas Open,2,17,770,2011
T106,T106,John Merrick,71,366,Reno-Tahoe Open,1,1,660,2011
T106,T106,Chris Smith,8,366,John Deere Clas,1,2,669,2011
T106,T106,Brandt Snedeker,85,366,Texas Open,2,10,770,2011
T112,T112,Chris Baryla,45,365,Texas Open,2,10,770,2011
T112,T112,Chad Campbell,99,365,HP Byron Nelson,2,3,19,2011
T112,T112,Paul Casey,48,365,WGC-Bridgestone,3,8,36,2011
T112,T112,Justin Hicks,60,365,Reno-Tahoe Open,1,18,660,2011
T112,T112,Tom Lewis,4,365,The Open,2,1,778,2011
T112,T112,David Mathis,83,365,Reno-Tahoe Open,1,18,660,2011
T112,T112,William McGirt,103,365,Reno-Tahoe Open,1,18,660,2011
T119,T119,Fabián Gómez,84,364,Reno-Tahoe Open,1,1,660,2011
T119,T119,Nathan Green,81,364,Texas Open,2,10,770,2011
T119,T119,Charles Howell III,108,364,The Open,1,2,778,2011
T119,T119,Will MacKenzie,48,364,Reno-Tahoe Open,3,1,660,2011
T119,T119,Robert McClellan,4,364,The Greenbrier,1,6,771,2011
T119,T119,Jimmy Walker,79,364,Honda Classic,2,4,734,2011
T119,T119,Y.E. Yang,63,364,The Open,4,1,778,2011
T126,T126,Shane Bertsch,62,363,Reno-Tahoe Open,3,18,660,2011
T126,T126,Steve Elkington,50,363,Reno-Tahoe Open,1,18,660,2011
T126,T126,Ernie Els,71,363,Memorial Tourn,3,13,23,2011
T126,T126,Lucas Glover,74,363,WGC-Bridgestone,3,16,36,2011
T126,T126,Retief Goosen,50,363,WGC-Bridgestone,3,9,36,2011
T126,T126,Padraig Harrington,60,363,Wyndham Champ.,1,18,752,2011
T126,T126,Tim Herron,85,363,Reno-Tahoe Open,2,1,660,2011
T126,T126,Billy Horschel,75,363,Reno-Tahoe Open,4,18,660,2011
T126,T126,Spencer Levin,113,363,Texas Open,2,17,770,2011
T126,T126,Rod Pampling,72,363,HP Byron Nelson,3,3,19,2011
T126,T126,Jeff Rangel,2,363,Reno-Tahoe Open,1,8,660,2011
T137,T137,Aaron Baddeley,77,362,WGC-Bridgestone,3,8,36,2011
T137,T137,Sangmoon Bae,6,362,The Open,2,1,778,2011
T137,T137,Briny Baird,60,362,Reno-Tahoe Open,4,8,660,2011
T137,T137,Craig Barlow,18,362,Reno-Tahoe Open,3,18,660,2011
T137,T137,Lee Janzen,62,362,Wyndham Champ.,1,5,752,2011
T137,T137,Sung Kang,63,362,Texas Open,2,10,770,2011
T137,T137,Frank Lickliter II,39,362,Reno-Tahoe Open,1,1,660,2011
T137,T137,Ben Martin,74,362,Reno-Tahoe Open,4,8,660,2011
T137,T137,Leif Olson,2,362,John Deere Clas,1,2,669,2011
T137,T137,Carl Paulson,28,362,Texas Open,2,10,770,2011
T137,T137,Cameron Percy,39,362,HP Byron Nelson,2,1,19,2011
T137,T137,Andres Romero,77,362,Shell Houston,2,17,729,2011
T137,T137,Webb Simpson,98,362,The Open,4,1,778,2011
T137,T137,Martin Trainer,4,362,Reno-Tahoe Open,2,8,660,2011
T137,T137,Peter Whiteford,2,362,The Open,1,2,778,2011
T152,T152,Jim Furyk,87,361,Hyundai T of C,3,17,656,2011
T152,T152,J.J. Henry,96,361,Texas Open,4,9,770,2011
T152,T152,Bio Kim,71,361,Texas Open,4,9,770,2011
T152,T152,Marc Leishman,87,361,HP Byron Nelson,2,3,19,2011
T152,T152,Savio Nazareth,2,361,Wyndham Champ.,1,18,752,2011
T152,T152,Paul Stankowski,78,361,Reno-Tahoe Open,1,18,660,2011
T158,T158,Kevin Chappell,78,360,The Barclays,3,2,444,2011
T158,T158,Brendon de Jonge,105,360,Wyndham Champ.,3,18,752,2011
T158,T158,Joe Durant,71,360,Reno-Tahoe Open,4,5,660,2011
T158,T158,Simon Dyson,12,360,The Open,1,2,778,2011
T158,T158,J.P. Hayes,56,360,Texas Open,2,10,770,2011
T158,T158,Geoff Ogilvy,69,360,WGC-Bridgestone,3,16,36,2011
T158,T158,Alexandre Rocha,65,360,Wyndham Champ.,1,18,752,2011
T165,T165,Jonathan Byrd,83,359,Hyundai T of C,3,17,656,2011
T165,T165,Anders Hansen,21,359,The Open,2,1,778,2011
T165,T165,K.T. Kim,29,359,Wyndham Champ.,2,18,752,2011
T165,T165,Joe Ogilvie,75,359,Reno-Tahoe Open,2,8,660,2011
T165,T165,Tom Pernice Jr.,39,359,Reno-Tahoe Open,1,18,660,2011
T170,T170,D.J. Brigman,67,358,HP Byron Nelson,2,3,19,2011
T170,T170,Stewart Cink,72,358,WGC-Bridgestone,1,8,36,2011
T170,T170,Jason Dufner,78,358,HP Byron Nelson,4,3,19,2011
T170,T170,Bob Estes,34,358,Reno-Tahoe Open,4,18,660,2011
T170,T170,Mathias Grönberg,4,358,Reno-Tahoe Open,3,18,660,2011
