RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,Year
169,169,Camilo Villegas,75,290.9,40139,138,2022
170,170,Patrick Reed,73,290.6,40680,140,2022
171,171,Kevin Kisner,77,290.4,38327,132,2022
172,172,Rory Sabbatini,55,290.0,31898,110,2022
173,173,Max McGreevy,76,289.8,41731,144,2022
174,174,Chase Seiffert,59,289.7,29548,102,2022
175,175,Kelly Kraft,75,289.3,39926,138,2022
176,176,Chad Ramey,79,288.9,42180,146,2022
177,177,Mark Hubbard,76,288.3,39203,136,2022
T178,T178,Matt Kuchar,71,287.9,40884,142,2022
T178,T178,Michael Thompson,88,287.9,48368,168,2022
180,180,Ben Kohles,69,287.3,36202,126,2022
181,181,Pat Perez,62,287.2,33319,116,2022
T182,T182,Zach Johnson,64,287.1,36746,128,2022
T182,T182,Brandt Snedeker,61,287.1,33879,118,2022
T184,T184,Luke Donald,67,286.5,38389,134,2022
T184,T184,Satoshi Kodaira,51,286.5,26927,94,2022
186,186,Ryan Armour,56,286.3,28633,100,2022
187,187,Austin Cook,75,285.5,39405,138,2022
188,188,Andrew Putnam,96,284.8,51267,180,2022
189,189,Vaughn Taylor,57,284.7,30175,106,2022
190,190,Joshua Creel,53,284.6,26750,94,2022
191,191,Chez Reavie,91,283.9,48269,170,2022
192,192,Brendon Todd,87,279.0,44079,158,2022
193,193,Brian Stuard,95,277.4,49383,178,2022
