RK,Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%,Year
32,Ryan O'ReillySTL,C,71,12,49,61,11,10,20:34,2,16,118,10.2,1737,3,880,676,56.6,5,2,40.0,2020
32,Tomas TatarMTL,LW,68,22,39,61,5,36,16:17,8,6,162,13.6,1512,1,9,16,36.0,1,1,100.0,2020
32,Ryan Nugent-HopkinsEDM,C,65,22,39,61,1,33,20:28,7,17,172,12.8,1387,4,205,199,50.7,3,0,0.0,2020
32,Andrei SvechnikovCAR,RW,68,24,37,61,9,54,16:44,6,14,183,13.1,1425,5,0,1,0.0,4,3,75.0,2020
38,Mathew BarzalNYI,C,68,19,41,60,5,44,20:02,4,8,171,11.1,1503,2,228,320,41.6,6,3,50.0,2020
38,Jonathan ToewsCHI,C,70,18,42,60,-2,48,19:46,1,7,172,10.5,1683,3,856,638,57.3,8,5,62.5,2020
38,David PerronSTL,LW,71,25,35,60,2,52,18:19,9,18,166,15.1,1553,9,3,5,37.5,4,2,50.0,2020
38,John TavaresTOR,C,63,26,34,60,-7,24,19:32,7,14,197,13.2,1388,4,617,499,55.3,2,0,0.0,2020
42,Mike HoffmanFLA,LW,69,29,30,59,-5,28,16:50,11,10,214,13.6,1357,3,7,8,46.7,3,1,33.3,2020
42,Sean CouturierPHI,C,69,22,37,59,21,30,19:49,4,9,185,11.9,1792,4,542,367,59.6,8,3,37.5,2020
42,Ryan StromeNYR,C,70,18,41,59,21,48,19:35,3,14,154,11.7,1670,3,496,548,47.5,0,0,0.0,2020
42,William NylanderTOR,RW,68,31,28,59,-2,12,18:12,9,8,197,15.7,1493,7,106,106,50.0,4,2,50.0,2020
46,Nikolaj EhlersWPG,LW,71,25,33,58,14,30,16:31,3,2,203,12.3,1519,5,0,2,0.0,1,0,0.0,2020
46,Brayden SchennSTL,C,71,25,33,58,3,44,18:27,10,11,138,18.1,1561,4,350,364,49.0,2,0,0.0,2020
46,Johnny GaudreauCGY,LW,70,18,40,58,-10,12,18:47,6,12,209,8.6,1550,2,1,3,25.0,2,1,50.0,2020
49,Jaden SchwartzSTL,C,71,22,35,57,3,18,18:10,9,11,162,13.6,1551,4,9,11,45.0,0,0,0.0,2020
50,Patrice BergeronBOS,C,61,31,25,56,23,28,18:44,11,9,203,15.3,1399,5,759,552,57.9,1,0,0.0,2020
1,Connor McDavidEDM,C,56,33,72,105,21,20,22:09,9,28,200,16.5,1182,11,316,322,49.5,0,0,0.0,2021
2,Leon DraisaitlEDM,C,56,31,53,84,29,22,22:11,15,17,168,18.5,1196,8,574,457,55.7,0,0,0.0,2021
3,Brad MarchandBOS,LW,53,29,40,69,26,46,18:54,4,14,143,20.3,1234,5,11,24,31.4,2,0,0.0,2021
4,Mitchell MarnerTOR,RW,55,20,47,67,21,20,22:25,0,14,156,12.8,1377,5,4,1,80.0,0,0,0.0,2021
