RK,Name,POS,GP,W,L,OTL,GA/G,SA,GA,SV,SV%,SO,TOI,PIM,SOSA,SOS,SOS%,Year
6,Alexandar GeorgievNYR,G,2,0,1,0,2.04,31,2,29,0.935,0,58:57,0,0,0,0.0,2022
7,Antti RaantaCAR,G,13,6,5,0,2.26,322,25,297,0.922,1,663:25,0,0,0,0.0,2022
8,Andrei VasilevskiyTB,G,23,14,9,0,2.52,752,59,693,0.922,1,1402:42,0,0,0,0.0,2022
9,Darcy KuemperCOL,G,16,10,4,0,2.57,386,38,348,0.902,1,886:53,2,0,0,0.0,2022
10,Igor ShesterkinNYR,G,20,10,9,0,2.59,720,51,669,0.929,0,1181:34,2,0,0,0.0,2022
11,Jeremy SwaymanBOS,G,5,3,2,0,2.63,146,13,133,0.911,0,296:07,0,0,0,0.0,2022
12,Sergei BobrovskyFLA,G,10,4,6,0,2.7,303,27,276,0.911,0,600:18,2,0,0,0.0,2022
13,Pavel FrancouzCOL,G,7,6,0,0,2.81,171,16,155,0.906,1,341:11,0,0,0,0.0,2022
14,Jacob MarkstromCGY,G,12,5,7,0,2.95,354,35,319,0.901,1,712:27,0,0,0,0.0,2022
15,Ilya SamsonovWSH,G,5,1,3,0,2.97,148,13,135,0.912,0,262:54,0,0,0,0.0,2022
16,Marc-Andre FleuryMIN,G,5,2,3,0,3.04,159,15,144,0.906,0,296:28,0,0,0,0.0,2022
17,Jack CampbellTOR,G,7,3,4,0,3.15,203,21,182,0.897,1,400:15,0,0,0,0.0,2022
18,Mike SmithEDM,G,16,8,6,0,3.37,560,49,511,0.913,2,872:15,2,0,0,0.0,2022
19,Jonathan QuickLA,G,7,3,4,0,3.43,228,22,206,0.904,1,384:45,0,0,0,0.0,2022
20,Connor IngramNSH,G,4,0,3,0,3.64,161,14,147,0.913,0,230:51,0,0,0,0.0,2022
21,Louis DominguePIT,G,6,3,3,0,3.65,187,19,168,0.898,0,312:01,0,0,0,0.0,2022
22,Ville HussoSTL,G,7,2,5,0,3.67,228,25,203,0.89,1,409:16,0,0,0,0.0,2022
23,Tristan JarryPIT,G,1,0,0,1,3.71,30,4,26,0.867,0,64:46,0,0,0,0.0,2022
24,Pyotr KochetkovCAR,G,4,1,2,0,3.89,84,11,73,0.869,0,169:34,2,0,0,0.0,2022
25,Mikko KoskinenEDM,G,3,0,2,0,4.02,58,6,52,0.897,0,89:29,0,0,0,0.0,2022
26,Cam TalbotMIN,G,1,0,1,0,4.15,26,4,22,0.846,0,57:53,0,0,0,0.0,2022
27,Linus UllmarkBOS,G,2,0,2,0,4.17,57,8,49,0.86,0,115:15,0,0,0,0.0,2022
28,Vitek VanecekWSH,G,2,1,1,0,4.21,51,7,44,0.863,0,99:49,2,0,0,0.0,2022
29,Cal PetersenLA,G,1,0,0,0,7.45,20,4,16,0.8,0,32:14,0,0,0,0.0,2022
30,David RittichNSH,G,1,0,1,0,19.91,13,5,8,0.615,0,15:04,0,0,0,0.0,2022
1,Dan VladarCGY,G,1,0,0,0,0.0,7,0,7,1.0,0,19:56,0,0,0,0.0,2022
1,Erik KallgrenTOR,G,1,0,0,0,0.0,10,0,10,1.0,0,30:46,0,0,0,0.0,2022
