League,Sport,Country(ies),Season,Teams,Revenue per match (in thousands of euros)
South African Premier Division,Association football,South Africa,2019-20,16,222.0
Slovak Super Liga,Association football,Slovakia,2016–17,12,194.0
UAE Pro League,Association football,United Arab Emirates,2013–14,14,191.0
Vyšejšaja Liha (Belarusian Premier League),Association football,Belarus,2017,16,184.0
English Football League Two (EFL League Two),Association football,England  Wales,2018–19,24,184.0
United Rugby Championship[ac],Rugby union football,Ireland  Italy  Scotland  South Africa  Wales,2017–18,14,176.0
First Professional Football League (Bulgarian First League),Association football,Bulgaria,2016–17,10,167.0
Eerste Divisie,Association football,Netherlands,2014–15,20,161.0
J3 League,Association football,Japan,2015,12,150.0
Lega Italiana Calcio Professionistico (Serie C),Association football,Italy,2017–18,57,127.0
Veikkausliiga,Association football,Finland,2017,12,126.0
Persian Gulf Pro League,Association football,Iran,2015–16,16,121.0
LNB Pro B,Basketball,France,2018-19,18,119.0
Russian Volleyball Super League (RVSL),Volleyball,Russia,2017,14,109.0
Serbian SuperLiga,Association football,Serbia,2016–17,16,108.0
Primera Categoría Serie A (Ecuadorian Serie A),Association football,Ecuador,2018,12,94.0
Israeli Basketball Premier League (ISBL),Basketball,Israel,2018–19,12,93.0
USL Championship (USL),Association football,United States,2018,33,37.5
Mexican Baseball League (Liga Mexicana de Béisbol; LMB),Baseball,Mexico,2016,16,25.0
